metric,value,unit,evidence
core_area,581908.096,um2,MEASURED_OPENROAD_FLOORPLAN
final_design_area,252471,um2,MEASURED_OPENROAD_FINAL
final_utilization,43,percent,MEASURED_OPENROAD_FINAL
placement_violations,0,count,MEASURED_OPENROAD_DPL
post_cts_setup_slack,-31.68,ns,MEASURED_OPENROAD_STA_ESTIMATED_RC
post_cts_hold_slack,0.24,ns,MEASURED_OPENROAD_STA_ESTIMATED_RC
post_cts_tns,-19062.76,ns,MEASURED_OPENROAD_STA_ESTIMATED_RC
post_cts_setup_skew,0.29,ns,MEASURED_OPENROAD_STA
post_route_setup_slack,-43.48,ns,MEASURED_OPENROAD_STA_SPEF
post_route_hold_slack,0.27,ns,MEASURED_OPENROAD_STA_SPEF
post_route_tns,-25569.86,ns,MEASURED_OPENROAD_STA_SPEF
post_route_setup_skew,0.31,ns,MEASURED_OPENROAD_STA
detailed_route_drc_errors,16720,count,MEASURED_OPENROAD_DRT
detailed_route_wirelength,1119227,um,MEASURED_OPENROAD_DRT
detailed_route_vias,218388,count,MEASURED_OPENROAD_DRT
antenna_violating_nets,68,count,MEASURED_OPENROAD_ANTENNA
antenna_violating_pins,74,count,MEASURED_OPENROAD_ANTENNA
gds_cells,203,count,MEASURED_KLAYOUT
gds_bbox,768.725x768.725,um,MEASURED_KLAYOUT
