OpenROAD 26Q3-1080-gab6fd26351 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
LOGIC_DIE_LEAF_CELLS=13176
   Internal  Switching    Leakage      Total
      Power      Power      Power      Power (Watts)
--------------------------------------------
   5.71e-06   9.09e-06   1.32e-11   1.48e-05 g_logic_die_enabled.u_logic_die.epoch_authorized_q$_DFFE_PN0P_
   4.84e-06   5.39e-06   1.29e-11   1.02e-05 g_logic_die_enabled.u_logic_die.u_epoch_barrier.epoch_q\[2\]$_DFFE_PN0P_
   4.84e-06   5.35e-06   1.29e-11   1.02e-05 g_logic_die_enabled.u_logic_die.u_epoch_barrier.epoch_q\[3\]$_DFFE_PN0P_
   4.84e-06   5.07e-06   1.29e-11   9.91e-06 g_logic_die_enabled.u_logic_die.u_epoch_barrier.epoch_q\[11\]$_DFFE_PN0P_
   4.84e-06   5.01e-06   1.29e-11   9.85e-06 g_logic_die_enabled.u_logic_die.u_epoch_barrier.epoch_q\[5\]$_DFFE_PN0P_
   4.84e-06   4.99e-06   1.29e-11   9.83e-06 g_logic_die_enabled.u_logic_die.u_epoch_barrier.epoch_q\[1\]$_DFFE_PN0P_
   6.25e-06   2.51e-06   1.20e-11   8.76e-06 g_logic_die_enabled.u_logic_die.u_epoch_barrier.released_q$_DFFE_PN0P_
   5.93e-06   1.81e-06   1.29e-11   7.73e-06 g_logic_die_enabled.u_logic_die.authorized_epoch_q\[10\]$_DFFE_PN0P_
   5.93e-06   1.75e-06   1.29e-11   7.67e-06 g_logic_die_enabled.u_logic_die.authorized_epoch_q\[15\]$_DFFE_PN0P_
   5.93e-06   1.74e-06   1.29e-11   7.67e-06 g_logic_die_enabled.u_logic_die.authorized_epoch_q\[0\]$_DFFE_PN0P_
   5.92e-06   1.70e-06   1.29e-11   7.63e-06 g_logic_die_enabled.u_logic_die.authorized_epoch_q\[1\]$_DFFE_PN0P_
   5.92e-06   1.68e-06   1.29e-11   7.61e-06 g_logic_die_enabled.u_logic_die.authorized_epoch_q\[5\]$_DFFE_PN0P_
   5.92e-06   1.66e-06   1.29e-11   7.58e-06 g_logic_die_enabled.u_logic_die.authorized_epoch_q\[12\]$_DFFE_PN0P_
   5.93e-06   1.58e-06   1.29e-11   7.51e-06 g_logic_die_enabled.u_logic_die.authorized_epoch_q\[7\]$_DFFE_PN0P_
   5.92e-06   1.54e-06   1.29e-11   7.46e-06 g_logic_die_enabled.u_logic_die.authorized_epoch_q\[11\]$_DFFE_PN0P_
   5.92e-06   1.51e-06   1.29e-11   7.43e-06 g_logic_die_enabled.u_logic_die.authorized_epoch_q\[8\]$_DFFE_PN0P_
   5.93e-06   1.46e-06   1.29e-11   7.39e-06 g_logic_die_enabled.u_logic_die.authorized_epoch_q\[14\]$_DFFE_PN0P_
   5.92e-06   1.44e-06   1.29e-11   7.36e-06 g_logic_die_enabled.u_logic_die.authorized_epoch_q\[13\]$_DFFE_PN0P_
   5.92e-06   1.42e-06   1.29e-11   7.35e-06 g_logic_die_enabled.u_logic_die.authorized_epoch_q\[2\]$_DFFE_PN0P_
   5.92e-06   1.41e-06   1.29e-11   7.33e-06 g_logic_die_enabled.u_logic_die.authorized_epoch_q\[6\]$_DFFE_PN0P_
   5.92e-06   1.39e-06   1.29e-11   7.31e-06 g_logic_die_enabled.u_logic_die.authorized_epoch_q\[3\]$_DFFE_PN0P_
   5.92e-06   1.27e-06   1.29e-11   7.19e-06 g_logic_die_enabled.u_logic_die.authorized_epoch_q\[4\]$_DFFE_PN0P_
   5.92e-06   1.24e-06   1.29e-11   7.15e-06 g_logic_die_enabled.u_logic_die.authorized_epoch_q\[9\]$_DFFE_PN0P_
