metric,value,unit,stage
mapped_cells,56097,cells,synthesis
mapped_area,702769.011199,um2,synthesis
sequential_area,418575.1968,um2,synthesis
die_width,1534.545,um,floorplan
die_height,1534.545,um,floorplan
die_area,2354828.357025,um2,floorplan
core_area,2338758.054,um2,floorplan
final_place_utilization,38,percent,place
legalized_hpwl,4212992.9,um,place
cts_sinks,14058,sinks,cts
cts_buffers,1603,buffers,cts
cts_max_level,7,levels,cts
global_route_wirelength,6853970,um,global_route
global_route_vias,658010,vias,global_route
global_route_guides,712675,guides,global_route
global_route_resource_usage,47.46,percent,global_route
detailed_route_progress,40,percent,detailed_route
detailed_route_last_violations,13497,violations,detailed_route
