signal,width,bit_transitions,activity_per_bit_per_cycle,duty
bank_context_key_i,32,0,0.0,0.125
bank_precision_i,2,0,0.0,0.0
bank_result_to_logic_i,1,0,0.0,1.0
clk_i,1,81,1.9950738916256157,0.49507389162561577
crf_program_addr_i,1,1,0.02463054187192118,0.458128078817734
crf_program_data_i,32,8,0.006157635467980295,0.06188423645320197
crf_program_valid_i,1,4,0.09852216748768472,0.04926108374384237
crf_start_i,1,2,0.04926108374384236,0.024630541871921183
direct_tsv_ready_i,2,0,0.0,1.0
dram_bank_i,1,0,0.0,0.0
dram_cmd_i,3,0,0.0,0.0
dram_cmd_valid_i,1,0,0.0,0.0
dram_col_i,1,0,0.0,0.0
dram_read_ready_i,1,0,0.0,1.0
dram_row_i,1,0,0.0,0.0
dram_write_data_i,32,0,0.0,0.0
dram_write_mask_i,4,0,0.0,1.0
epoch_begin_id_i,16,0,0.0,0.1875
epoch_begin_valid_i,1,2,0.04926108374384236,0.024630541871921183
epoch_execution_done_i,1,2,0.04926108374384236,0.024630541871921183
epoch_expected_mask_i,1,0,0.0,1.0
epoch_fill_done_channel_i,1,0,0.0,0.0
epoch_fill_done_valid_i,1,2,0.04926108374384236,0.024630541871921183
logic_accum_i,32,0,0.0,0.0
logic_bank_result_ready_i,1,0,0.0,0.0
logic_command_channel_i,1,0,0.0,0.0
logic_command_epoch_i,16,0,0.0,0.1875
logic_command_expected_mask_i,1,0,0.0,1.0
logic_command_ordinal_i,16,0,0.0,0.0
logic_command_signature_i,32,0,0.0,0.15625
logic_command_valid_i,1,2,0.04926108374384236,0.024630541871921183
logic_command_word_i,32,0,0.0,0.03125
logic_host_result_ready_i,1,2,0.04926108374384236,0.024630541871921183
logic_result_ready_i,1,0,0.0,1.0
logic_src1_i,32,0,0.0,0.0
logic_src2_i,32,0,0.0,0.0
normalization_begin_rms_norm_i,1,0,0.0,1.0
normalization_begin_tag_i,64,0,0.0,1.0
normalization_begin_valid_i,1,0,0.0,1.0
normalization_broadcast_ready_i,1,0,0.0,1.0
normalization_epsilon_i,16,0,0.0,1.0
normalization_expected_bank_mask_i,2,0,0.0,1.0
normalization_inv_hidden_i,16,0,0.0,1.0
normalization_partial_bank_i,1,0,0.0,0.0
normalization_partial_sum_i,16,0,0.0,1.0
normalization_partial_sumsq_i,16,0,0.0,1.0
normalization_partial_tag_i,64,0,0.0,1.0
normalization_partial_valid_i,1,0,0.0,1.0
pim_col_i,1,0,0.0,0.0
pim_row_i,1,0,0.0,0.0
register_write_bank_i,1,0,0.0,0.0
register_write_block_i,1,0,0.0,0.0
register_write_data_i,32,0,0.0,0.25
register_write_index_i,3,0,0.0,0.0
register_write_valid_i,1,2,0.04926108374384236,0.024630541871921183
rst_ni,1,1,0.02463054187192118,0.9137931034482759
srf_write_block_i,1,0,0.0,0.0
srf_write_data_i,32,0,0.0,0.0
srf_write_valid_i,1,0,0.0,0.0
weight_context_commit_i,1,2,0.04926108374384236,0.024630541871921183
weight_context_id_i,16,0,0.0,0.1875
weight_read_addr_i,2,0,0.0,0.0
weight_read_valid_i,1,2,0.04926108374384236,0.024630541871921183
weight_response_ready_i,1,2,0.04926108374384236,0.024630541871921183
weight_write_addr_i,2,0,0.0,0.0
weight_write_data_i,32,0,0.0,0.25
weight_write_mask_i,4,0,0.0,1.0
weight_write_valid_i,1,2,0.04926108374384236,0.024630541871921183
crf_program_addr_i,1,1,0.02463054187192118,0.458128078817734
crf_program_data_i,32,8,0.006157635467980295,0.06188423645320197
dram_bank_i,1,0,0.0,0.0
dram_cmd_i,3,0,0.0,0.0
dram_col_i,1,0,0.0,0.0
dram_row_i,1,0,0.0,0.0
dram_write_data_i,32,0,0.0,0.0
dram_write_mask_i,4,0,0.0,1.0
pim_col_i,1,0,0.0,0.0
pim_row_i,1,0,0.0,0.0
register_write_block_i,1,0,0.0,0.0
register_write_data_i,32,0,0.0,0.25
register_write_index_i,3,0,0.0,0.0
srf_write_block_i,1,0,0.0,0.0
srf_write_data_i,32,0,0.0,0.0
register_write_data_i,32,0,0.0,0.25
register_write_index_i,3,0,0.0,0.0
register_write_valid_i,1,2,0.04926108374384236,0.024630541871921183
srf_write_data_i,32,0,0.0,0.0
srf_write_valid_i,1,0,0.0,0.0
epoch_begin_id_i,16,0,0.0,0.1875
weight_context_id_i,16,0,0.0,0.1875
weight_read_addr_i,2,0,0.0,0.0
weight_write_addr_i,2,0,0.0,0.0
weight_write_data_i,32,0,0.0,0.25
weight_write_mask_i,4,0,0.0,1.0
