bundle_id,kind,signal_class,source,destinations,x_um,y_um,rows,columns,pitch_um,diameter_um,keepout_um,redundancy_count,bandwidth_bits,direction,geometry_source,connectivity_source,classification,confidence
TSV_CH0_DATA,tsv,data,dram.channel[0],MBUMP_CH0_DATA,425.0,1000.0,8,2,150.0,28.0,50.0,0,128,bidirectional,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH0_CA,tsv,command_address,dram.channel[0],MBUMP_CH0_CA,425.0,2300.0,2,2,150.0,28.0,50.0,0,32,down,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH0_CLK,tsv,clock,dram.channel[0],MBUMP_CH0_CLK,425.0,2700.0,1,2,150.0,28.0,50.0,0,2,down,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH0_POWER,tsv,power,dram.channel[0],MBUMP_CH0_POWER,425.0,3000.0,4,2,150.0,28.0,50.0,0,,not_applicable,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH0_GROUND,tsv,ground,dram.channel[0],MBUMP_CH0_GROUND,425.0,3800.0,4,2,150.0,28.0,50.0,0,,not_applicable,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH0_SPARE,tsv,spare,dram.channel[0],MBUMP_CH0_SPARE,425.0,4600.0,1,2,150.0,28.0,50.0,2,0,not_applicable,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH1_DATA,tsv,data,dram.channel[1],MBUMP_CH1_DATA,1425.0,1000.0,8,2,150.0,28.0,50.0,0,128,bidirectional,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH1_CA,tsv,command_address,dram.channel[1],MBUMP_CH1_CA,1425.0,2300.0,2,2,150.0,28.0,50.0,0,32,down,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH1_CLK,tsv,clock,dram.channel[1],MBUMP_CH1_CLK,1425.0,2700.0,1,2,150.0,28.0,50.0,0,2,down,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH1_POWER,tsv,power,dram.channel[1],MBUMP_CH1_POWER,1425.0,3000.0,4,2,150.0,28.0,50.0,0,,not_applicable,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH1_GROUND,tsv,ground,dram.channel[1],MBUMP_CH1_GROUND,1425.0,3800.0,4,2,150.0,28.0,50.0,0,,not_applicable,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH1_SPARE,tsv,spare,dram.channel[1],MBUMP_CH1_SPARE,1425.0,4600.0,1,2,150.0,28.0,50.0,2,0,not_applicable,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH2_DATA,tsv,data,dram.channel[2],MBUMP_CH2_DATA,2425.0,1000.0,8,2,150.0,28.0,50.0,0,128,bidirectional,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH2_CA,tsv,command_address,dram.channel[2],MBUMP_CH2_CA,2425.0,2300.0,2,2,150.0,28.0,50.0,0,32,down,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH2_CLK,tsv,clock,dram.channel[2],MBUMP_CH2_CLK,2425.0,2700.0,1,2,150.0,28.0,50.0,0,2,down,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH2_POWER,tsv,power,dram.channel[2],MBUMP_CH2_POWER,2425.0,3000.0,4,2,150.0,28.0,50.0,0,,not_applicable,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH2_GROUND,tsv,ground,dram.channel[2],MBUMP_CH2_GROUND,2425.0,3800.0,4,2,150.0,28.0,50.0,0,,not_applicable,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH2_SPARE,tsv,spare,dram.channel[2],MBUMP_CH2_SPARE,2425.0,4600.0,1,2,150.0,28.0,50.0,2,0,not_applicable,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH3_DATA,tsv,data,dram.channel[3],MBUMP_CH3_DATA,3425.0,1000.0,8,2,150.0,28.0,50.0,0,128,bidirectional,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH3_CA,tsv,command_address,dram.channel[3],MBUMP_CH3_CA,3425.0,2300.0,2,2,150.0,28.0,50.0,0,32,down,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH3_CLK,tsv,clock,dram.channel[3],MBUMP_CH3_CLK,3425.0,2700.0,1,2,150.0,28.0,50.0,0,2,down,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH3_POWER,tsv,power,dram.channel[3],MBUMP_CH3_POWER,3425.0,3000.0,4,2,150.0,28.0,50.0,0,,not_applicable,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH3_GROUND,tsv,ground,dram.channel[3],MBUMP_CH3_GROUND,3425.0,3800.0,4,2,150.0,28.0,50.0,0,,not_applicable,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH3_SPARE,tsv,spare,dram.channel[3],MBUMP_CH3_SPARE,3425.0,4600.0,1,2,150.0,28.0,50.0,2,0,not_applicable,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH4_DATA,tsv,data,dram.channel[4],MBUMP_CH4_DATA,4425.0,1000.0,8,2,150.0,28.0,50.0,0,128,bidirectional,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH4_CA,tsv,command_address,dram.channel[4],MBUMP_CH4_CA,4425.0,2300.0,2,2,150.0,28.0,50.0,0,32,down,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH4_CLK,tsv,clock,dram.channel[4],MBUMP_CH4_CLK,4425.0,2700.0,1,2,150.0,28.0,50.0,0,2,down,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH4_POWER,tsv,power,dram.channel[4],MBUMP_CH4_POWER,4425.0,3000.0,4,2,150.0,28.0,50.0,0,,not_applicable,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH4_GROUND,tsv,ground,dram.channel[4],MBUMP_CH4_GROUND,4425.0,3800.0,4,2,150.0,28.0,50.0,0,,not_applicable,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH4_SPARE,tsv,spare,dram.channel[4],MBUMP_CH4_SPARE,4425.0,4600.0,1,2,150.0,28.0,50.0,2,0,not_applicable,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH5_DATA,tsv,data,dram.channel[5],MBUMP_CH5_DATA,5425.0,1000.0,8,2,150.0,28.0,50.0,0,128,bidirectional,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH5_CA,tsv,command_address,dram.channel[5],MBUMP_CH5_CA,5425.0,2300.0,2,2,150.0,28.0,50.0,0,32,down,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH5_CLK,tsv,clock,dram.channel[5],MBUMP_CH5_CLK,5425.0,2700.0,1,2,150.0,28.0,50.0,0,2,down,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH5_POWER,tsv,power,dram.channel[5],MBUMP_CH5_POWER,5425.0,3000.0,4,2,150.0,28.0,50.0,0,,not_applicable,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH5_GROUND,tsv,ground,dram.channel[5],MBUMP_CH5_GROUND,5425.0,3800.0,4,2,150.0,28.0,50.0,0,,not_applicable,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH5_SPARE,tsv,spare,dram.channel[5],MBUMP_CH5_SPARE,5425.0,4600.0,1,2,150.0,28.0,50.0,2,0,not_applicable,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH6_DATA,tsv,data,dram.channel[6],MBUMP_CH6_DATA,6425.0,1000.0,8,2,150.0,28.0,50.0,0,128,bidirectional,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH6_CA,tsv,command_address,dram.channel[6],MBUMP_CH6_CA,6425.0,2300.0,2,2,150.0,28.0,50.0,0,32,down,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
TSV_CH6_CLK,tsv,clock,dram.channel[6],MBUMP_CH6_CLK,6425.0,2700.0,1,2,150.0,28.0,50.0,0,2,down,design/hbm2_architecture.json,channel/class-level illustrative mapping; no public bit-level pin map,illustrative,low
