ordinal,profile,channel,arrival_cycle,tensor_input_output_bytes,measured_compute_cycles,transfer_cycles,service_start_cycle,completion_cycle,queue_cycles,service_cycles
0,vlln,0,0,2293760,17198,35840,0,35840,0,35840
1,vl_self_attention_norm1_norm3,1,5000,2293760,17198,35840,5000,40840,0,35840
2,vl_self_attention_norm1_norm3,2,10000,2293760,17198,35840,35840,71680,25840,35840
3,vl_self_attention_norm1_norm3,3,15000,2293760,17198,35840,40840,76680,25840,35840
4,vl_self_attention_norm1_norm3,4,20000,2293760,17198,35840,71680,107520,51680,35840
5,vl_self_attention_norm1_norm3,5,25000,2293760,17198,35840,76680,112520,51680,35840
6,vl_self_attention_norm1_norm3,6,30000,2293760,17198,35840,107520,143360,77520,35840
7,vl_self_attention_norm1_norm3,7,35000,2293760,17198,35840,112520,148360,77520,35840
8,vl_self_attention_norm1_norm3,0,40000,2293760,17198,35840,143360,179200,103360,35840
9,dit_adaln_norm1,1,45000,251904,4856,3936,148360,153216,103360,4856
10,dit_adaln_norm1,2,50000,251904,4856,3936,153216,158072,103216,4856
11,dit_adaln_norm1,3,55000,251904,4856,3936,158072,162928,103072,4856
12,dit_adaln_norm1,4,60000,251904,4856,3936,162928,167784,102928,4856
13,dit_adaln_norm1,5,65000,251904,4856,3936,167784,172640,102784,4856
14,dit_adaln_norm1,6,70000,251904,4856,3936,172640,177496,102640,4856
15,dit_adaln_norm1,7,75000,251904,4856,3936,177496,182352,102496,4856
16,dit_adaln_norm1,0,80000,251904,4856,3936,179200,184056,99200,4856
17,dit_adaln_norm1,1,85000,251904,4856,3936,182352,187208,97352,4856
18,dit_adaln_norm1,2,90000,251904,4856,3936,184056,188912,94056,4856
19,dit_adaln_norm1,3,95000,251904,4856,3936,187208,192064,92208,4856
20,dit_adaln_norm1,4,100000,251904,4856,3936,188912,193768,88912,4856
21,dit_adaln_norm1,5,105000,251904,4856,3936,192064,196920,87064,4856
22,dit_adaln_norm1,6,110000,251904,4856,3936,193768,198624,83768,4856
23,dit_adaln_norm1,7,115000,251904,4856,3936,196920,201776,81920,4856
24,dit_adaln_norm1,0,120000,251904,4856,3936,198624,203480,78624,4856
25,dit_adaln_norm1,1,125000,251904,4856,3936,201776,206632,76776,4856
26,dit_adaln_norm1,2,130000,251904,4856,3936,203480,208336,73480,4856
27,dit_adaln_norm1,3,135000,251904,4856,3936,206632,211488,71632,4856
28,dit_adaln_norm1,4,140000,251904,4856,3936,208336,213192,68336,4856
29,dit_adaln_norm1,5,145000,251904,4856,3936,211488,216344,66488,4856
30,dit_adaln_norm1,6,150000,251904,4856,3936,213192,218048,63192,4856
31,dit_adaln_norm1,7,155000,251904,4856,3936,216344,221200,61344,4856
32,dit_adaln_norm1,0,160000,251904,4856,3936,218048,222904,58048,4856
33,dit_adaln_norm1,1,165000,251904,4856,3936,221200,226056,56200,4856
34,dit_adaln_norm1,2,170000,251904,4856,3936,222904,227760,52904,4856
35,dit_adaln_norm1,3,175000,251904,4856,3936,226056,230912,51056,4856
36,dit_adaln_norm1,4,180000,251904,4856,3936,227760,232616,47760,4856
37,dit_adaln_norm1,5,185000,251904,4856,3936,230912,235768,45912,4856
38,dit_adaln_norm1,6,190000,251904,4856,3936,232616,237472,42616,4856
39,dit_adaln_norm1,7,195000,251904,4856,3936,235768,240624,40768,4856
40,dit_adaln_norm1,0,200000,251904,4856,3936,237472,242328,37472,4856
