layer_or_via,kind,resistance_kohm_per_um,capacitance_pf_per_um,via_resistance_kohm,status,source_ids
li1,routing_layer,0.07176,0.0001499,,local_platform_model,L5
met1,routing_layer,0.00120565,0.000172375,,local_platform_signal_layer,L5
met2,routing_layer,0.00122132,0.000136233,,local_platform_model,L5
met3,routing_layer,0.000166281,0.000214962,,local_platform_clock_layer,L5
met4,routing_layer,0.000168093,0.000148128,,local_platform_model,L5
met5,routing_layer,1.83558e-05,0.000154087,,local_platform_model,L5
mcon,via,,,0.009249146,local_platform_model,L5
via1,via,,,0.0045,local_platform_model,L5
via2,via,,,0.003368786,local_platform_model,L5
via3,via,,,0.000376635,local_platform_model,L5
via4,via,,,5.8e-06,local_platform_model,L5
