focus_metric,focus_weight,winner_x_mm,winner_y_mm,winner_score,baseline_score,baseline_rank,winner_changed_from_balanced
wire,0.05,2.5,-1.0,0.3844811094065323,0.38909238829671744,21,True
wire,0.1,0.0,0.0,0.3857191047021534,0.3857191047021534,1,False
wire,0.15,0.0,0.0,0.3823458211075893,0.3823458211075893,1,False
wire,0.2,0.0,0.0,0.3789725375130253,0.3789725375130253,1,False
wire,0.25,0.0,0.0,0.37559925391846116,0.37559925391846116,1,False
wire,0.3,0.0,0.0,0.37222597032389704,0.37222597032389704,1,False
wire,0.35,0.0,0.0,0.3688526867293329,0.3688526867293329,1,False
wire,0.4,0.0,0.0,0.3654794031347689,0.3654794031347689,1,False
wire,0.45,0.0,0.0,0.3621061195402049,0.3621061195402049,1,False
wire,0.5,0.0,0.0,0.35873283594564076,0.35873283594564076,1,False
delay,0.05,0.0,0.0,0.32010034058760534,0.32010034058760534,1,False
delay,0.1,0.0,0.0,0.3495364390503153,0.3495364390503153,1,False
delay,0.15,0.0,0.0,0.3789725375130253,0.3789725375130253,1,False
delay,0.2,0.0,0.0,0.40840863597573523,0.40840863597573523,1,False
delay,0.25,0.0,0.0,0.4378447344384452,0.4378447344384452,1,False
delay,0.3,0.0,0.0,0.4672808329011551,0.4672808329011551,1,False
delay,0.35,0.0,0.0,0.4967169313638651,0.4967169313638651,1,False
delay,0.4,0.0,0.0,0.526153029826575,0.526153029826575,1,False
delay,0.45,0.0,0.0,0.5555891282892851,0.5555891282892851,1,False
delay,0.5,0.0,0.0,0.5850252267519949,0.5850252267519949,1,False
thermal,0.05,0.0,0.0,0.42986692009159394,0.42986692009159394,1,False
thermal,0.1,0.0,0.0,0.4171433244469519,0.4171433244469519,1,False
thermal,0.15,0.0,0.0,0.4044197288023096,0.4044197288023096,1,False
thermal,0.2,0.0,0.0,0.3916961331576675,0.3916961331576675,1,False
thermal,0.25,0.0,0.0,0.3789725375130253,0.3789725375130253,1,False
thermal,0.3,0.0,0.0,0.36624894186838297,0.36624894186838297,1,False
thermal,0.35,0.0,0.0,0.3535253462237409,0.3535253462237409,1,False
thermal,0.4,0.0,0.0,0.3408017505790987,0.3408017505790987,1,False
thermal,0.45,0.0,0.0,0.3280781549344566,0.3280781549344566,1,False
thermal,0.5,0.0,0.0,0.31535455928981426,0.31535455928981426,1,False
tsv,0.05,0.0,0.0,0.363398449635792,0.363398449635792,1,False
tsv,0.1,0.0,0.0,0.37897253751302523,0.37897253751302523,1,False
tsv,0.15,0.0,0.0,0.3945466253902585,0.3945466253902585,1,False
tsv,0.2,2.0,0.0,0.4053371945503592,0.4101207132674917,7,True
tsv,0.25,2.0,0.0,0.4097519190140799,0.42569480114472497,33,True
tsv,0.3,2.5,-0.5,0.41081715506717426,0.44126888902195816,53,True
tsv,0.35,2.5,-0.5,0.41114446203641586,0.4568429768991914,81,True
tsv,0.4,2.5,-0.5,0.4114717690056575,0.47241706477642464,137,True
tsv,0.45,2.5,-0.5,0.4117990759748992,0.487991152653658,173,True
tsv,0.5,2.5,-0.5,0.4121263829441407,0.5035652405308911,225,True
congestion,0.05,0.0,0.0,0.3748265284846628,0.3748265284846628,1,False
congestion,0.1,0.0,0.0,0.37897253751302523,0.37897253751302523,1,False
congestion,0.15,0.0,0.0,0.3831185465413876,0.3831185465413876,1,False
congestion,0.2,0.0,0.0,0.38726455556975004,0.38726455556975004,1,False
congestion,0.25,-1.0,0.5,0.3873501888698697,0.3914105645981124,35,True
congestion,0.3,1.0,-1.0,0.3802741661659237,0.3955565736264748,119,True
congestion,0.35,2.0,-1.0,0.3715951343697589,0.39970258265483716,181,True
congestion,0.4,-2.0,1.5,0.36161590930828524,0.4038485916831996,299,True
congestion,0.45,-2.0,1.5,0.34978849827580194,0.407994600711562,299,True
congestion,0.5,-2.0,2.0,0.33730645645305907,0.41214060973992434,299,True
power,0.05,0.0,0.0,0.37897253751302523,0.37897253751302523,1,False
power,0.1,0.0,0.0,0.36819769027549765,0.36819769027549765,1,False
power,0.15,0.0,0.0,0.35742284303797,0.35742284303797,1,False
power,0.2,0.0,0.0,0.34664799580044237,0.34664799580044237,1,False
power,0.25,0.0,0.0,0.33587314856291467,0.33587314856291467,1,False
power,0.3,0.0,0.0,0.325098301325387,0.325098301325387,1,False
power,0.35,0.0,0.0,0.31432345408785933,0.31432345408785933,1,False
power,0.4,0.0,0.0,0.30354860685033175,0.30354860685033175,1,False
power,0.45,0.0,0.0,0.2927737596128041,0.2927737596128041,1,False
power,0.5,0.0,0.0,0.28199891237527647,0.28199891237527647,1,False
area,0.05,0.0,0.0,0.37897253751302523,0.37897253751302523,1,False
area,0.1,0.0,0.0,0.37410001612812926,0.37410001612812926,1,False
area,0.15,0.0,0.0,0.36922749474323313,0.36922749474323313,1,False
area,0.2,0.0,0.0,0.3643549733583371,0.3643549733583371,1,False
area,0.25,0.0,0.0,0.359482451973441,0.359482451973441,1,False
area,0.3,0.0,0.0,0.3546099305885449,0.3546099305885449,1,False
area,0.35,0.0,0.0,0.3497374092036488,0.3497374092036488,1,False
area,0.4,0.0,0.0,0.3448648878187528,0.3448648878187528,1,False
area,0.45,0.0,0.0,0.3399923664338568,0.3399923664338568,1,False
area,0.5,0.0,0.0,0.33511984504896064,0.33511984504896064,1,False
reliability,0.05,0.0,0.0,0.3996310009289512,0.3996310009289512,1,False
reliability,0.1,0.0,0.0,0.37897253751302523,0.37897253751302523,1,False
reliability,0.15,0.0,0.0,0.35831407409709926,0.35831407409709926,1,False
