raw_tag,barrier_self_rejects,next_epoch_rejects,combined_rejects
PRELOAD_DATA,81792,2866304,2948096
output,107437,2640096,2747533
END_HAB_TO_SB,17568,1459533,1477101
PIM,0,839580,839580
END_SB_TO_HAB,56990,623808,680798
MAC,308358,1322391,1630749
END_PARK_IN,0,117720,117720
END_PARK_OUT,0,968704,968704
WRIO_TO_GRF,86044,908852,994896
BANK_TO_GRF,84608,111104,195712
ADD,154496,182528,337024
FILL_AND_RELU,3968,5440,9408
GRFB_TO_BANK,85001,604856,689857
GRF_TO_BANK,239296,350080,589376
GRF_A_TO_EVEN_BANK,6016,11392,17408
GRF_B_TO_ODD_BANK,6016,43648,49664
PROGRAM_BANK_CRF,0,108224,108224
PROGRAM_LOGIC_CRF,0,87220,87220
total,1237590,13251480,14489070
