metric,value
total_cycle,235182
outputs_checked,18816
rank_mode_any_cycles,3171
rank_mode_all_active_cycles,2155
bank_state_any_cycles,43348
bank_state_all_active_cycles,37685
timing_any_cycles,21779
timing_all_active_cycles,16708
row_mismatch_any_cycles,9969
row_mismatch_all_active_cycles,9854
hierarchy_union_any_cycles,46967
hierarchy_union_all_active_cycles,41359
bank_all_no_hierarchy_cycles,1420
bank_all_with_hierarchy_cycles,36265
bank_state_only_cycles,0
hierarchy_all_no_issuability_cycles,2314
bank_hierarchy_all_intersection_cycles,36265
