sequence,cycle,channel,rank,pim_block,key
0,26540,0,0,0,41943040
1,26540,0,0,1,8631877632
2,26540,0,0,2,17221812224
3,26540,0,0,3,25811746816
4,26540,0,0,4,34401681408
5,26540,0,0,5,42991616000
6,26540,0,0,6,51581550592
7,26540,0,0,7,60171485184
8,26540,1,0,0,2199065198592
9,26540,1,0,1,2207655133184
10,26540,1,0,2,2216245067776
11,26540,1,0,3,2224835002368
12,26540,1,0,4,2233424936960
13,26540,1,0,5,2242014871552
14,26540,1,0,6,2250604806144
15,26540,1,0,7,2259194740736
16,26540,2,0,0,4398088454144
17,26540,2,0,1,4406678388736
18,26540,2,0,2,4415268323328
19,26540,2,0,3,4423858257920
20,26540,2,0,4,4432448192512
21,26540,2,0,5,4441038127104
22,26540,2,0,6,4449628061696
23,26540,2,0,7,4458217996288
24,26540,3,0,0,6597111709696
25,26540,3,0,1,6605701644288
26,26540,3,0,2,6614291578880
27,26540,3,0,3,6622881513472
28,26540,3,0,4,6631471448064
29,26540,3,0,5,6640061382656
30,26540,3,0,6,6648651317248
31,26540,3,0,7,6657241251840
32,26540,4,0,0,8796134965248
33,26540,4,0,1,8804724899840
34,26540,4,0,2,8813314834432
35,26540,4,0,3,8821904769024
36,26540,4,0,4,8830494703616
37,26540,4,0,5,8839084638208
38,26540,4,0,6,8847674572800
39,26540,4,0,7,8856264507392
40,26540,5,0,0,10995158220800
41,26540,5,0,1,11003748155392
42,26540,5,0,2,11012338089984
43,26540,5,0,3,11020928024576
44,26540,5,0,4,11029517959168
45,26540,5,0,5,11038107893760
46,26540,5,0,6,11046697828352
47,26540,5,0,7,11055287762944
48,26540,6,0,0,13194181476352
49,26540,6,0,1,13202771410944
50,26540,6,0,2,13211361345536
51,26540,6,0,3,13219951280128
52,26540,6,0,4,13228541214720
53,26540,6,0,5,13237131149312
54,26540,6,0,6,13245721083904
55,26540,6,0,7,13254311018496
56,26540,7,0,0,15393204731904
57,26540,7,0,1,15401794666496
58,26540,7,0,2,15410384601088
59,26540,7,0,3,15418974535680
60,26540,7,0,4,15427564470272
61,26540,7,0,5,15436154404864
62,26540,7,0,6,15444744339456
63,26540,7,0,7,15453334274048
