sequence,cycle,channel,rank,pim_block,key,tap_index,tap_count,partial_hex,final_hex
0,26540,0,0,0,41943040,1,3,0000000000000000000000000000000000000000000000000000000000000000,4400440044004400440044004400440044004400440044004400440044004400
1,26540,0,0,1,8631877632,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
2,26540,0,0,2,17221812224,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
3,26540,0,0,3,25811746816,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
4,26540,0,0,4,34401681408,1,3,4000400040004000400040004000400040004000400040004000400040004000,4600460046004600460046004600460046004600460046004600460046004600
5,26540,0,0,5,42991616000,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
6,26540,0,0,6,51581550592,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
7,26540,0,0,7,60171485184,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
8,26540,1,0,0,2199065198592,1,3,0000000000000000000000000000000000000000000000000000000000000000,4400440044004400440044004400440044004400440044004400440044004400
9,26540,1,0,1,2207655133184,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
10,26540,1,0,2,2216245067776,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
11,26540,1,0,3,2224835002368,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
12,26540,1,0,4,2233424936960,1,3,4000400040004000400040004000400040004000400040004000400040004000,4600460046004600460046004600460046004600460046004600460046004600
13,26540,1,0,5,2242014871552,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
14,26540,1,0,6,2250604806144,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
15,26540,1,0,7,2259194740736,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
16,26540,2,0,0,4398088454144,1,3,0000000000000000000000000000000000000000000000000000000000000000,4400440044004400440044004400440044004400440044004400440044004400
17,26540,2,0,1,4406678388736,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
18,26540,2,0,2,4415268323328,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
19,26540,2,0,3,4423858257920,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
20,26540,2,0,4,4432448192512,1,3,4000400040004000400040004000400040004000400040004000400040004000,4600460046004600460046004600460046004600460046004600460046004600
21,26540,2,0,5,4441038127104,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
22,26540,2,0,6,4449628061696,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
23,26540,2,0,7,4458217996288,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
24,26540,3,0,0,6597111709696,1,3,0000000000000000000000000000000000000000000000000000000000000000,4400440044004400440044004400440044004400440044004400440044004400
25,26540,3,0,1,6605701644288,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
26,26540,3,0,2,6614291578880,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
27,26540,3,0,3,6622881513472,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
28,26540,3,0,4,6631471448064,1,3,4000400040004000400040004000400040004000400040004000400040004000,4600460046004600460046004600460046004600460046004600460046004600
29,26540,3,0,5,6640061382656,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
30,26540,3,0,6,6648651317248,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
31,26540,3,0,7,6657241251840,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
32,26540,4,0,0,8796134965248,1,3,0000000000000000000000000000000000000000000000000000000000000000,4400440044004400440044004400440044004400440044004400440044004400
33,26540,4,0,1,8804724899840,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
34,26540,4,0,2,8813314834432,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
35,26540,4,0,3,8821904769024,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
36,26540,4,0,4,8830494703616,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
37,26540,4,0,5,8839084638208,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
38,26540,4,0,6,8847674572800,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
39,26540,4,0,7,8856264507392,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
40,26540,5,0,0,10995158220800,1,3,0000000000000000000000000000000000000000000000000000000000000000,4400440044004400440044004400440044004400440044004400440044004400
41,26540,5,0,1,11003748155392,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
42,26540,5,0,2,11012338089984,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
43,26540,5,0,3,11020928024576,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
44,26540,5,0,4,11029517959168,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
45,26540,5,0,5,11038107893760,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
46,26540,5,0,6,11046697828352,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
47,26540,5,0,7,11055287762944,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
48,26540,6,0,0,13194181476352,1,3,0000000000000000000000000000000000000000000000000000000000000000,4400440044004400440044004400440044004400440044004400440044004400
49,26540,6,0,1,13202771410944,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
50,26540,6,0,2,13211361345536,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
51,26540,6,0,3,13219951280128,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
52,26540,6,0,4,13228541214720,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
53,26540,6,0,5,13237131149312,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
54,26540,6,0,6,13245721083904,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
55,26540,6,0,7,13254311018496,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
56,26540,7,0,0,15393204731904,1,3,0000000000000000000000000000000000000000000000000000000000000000,4400440044004400440044004400440044004400440044004400440044004400
57,26540,7,0,1,15401794666496,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
58,26540,7,0,2,15410384601088,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
59,26540,7,0,3,15418974535680,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
60,26540,7,0,4,15427564470272,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
61,26540,7,0,5,15436154404864,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
62,26540,7,0,6,15444744339456,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
63,26540,7,0,7,15453334274048,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
64,26540,8,0,0,17592227987456,1,3,0000000000000000000000000000000000000000000000000000000000000000,4400440044004400440044004400440044004400440044004400440044004400
65,26540,8,0,1,17600817922048,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
66,26540,8,0,2,17609407856640,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
67,26540,8,0,3,17617997791232,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
68,26540,8,0,4,17626587725824,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
69,26540,8,0,5,17635177660416,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
70,26540,8,0,6,17643767595008,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
71,26540,8,0,7,17652357529600,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
72,26540,9,0,0,19791251243008,1,3,0000000000000000000000000000000000000000000000000000000000000000,4400440044004400440044004400440044004400440044004400440044004400
73,26540,9,0,1,19799841177600,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
