"logic_units","logic_bw","broadcast_queue_depth_requested","fill_policy","fill_channels","buffer_write_ports","buffer_write_latency","post_fill_guard_setting","epoch_release","broadcast_queue_depth","online_queue_backpressure","physical_weight_bytes","physical_writes","buffer_fill_bursts","buffer_read_hits","buffer_read_misses","active_channels","completed_fill_writes","min_writes_per_channel","max_writes_per_channel","min_completion_cycle","max_completion_cycle","fill_activates","fill_precharges","fill_barrier_cycles","port_wait_cycles","post_fill_guard_cycles","release_epochs","release_max_streams","release_complete_masks","release_incomplete_masks","broadcast_masks","broadcast_fanout","broadcast_min_fanout","broadcast_max_fanout","epoch1_masks","epoch1_fanout","epoch1_max_residency","epoch1_total_residency","epoch1_peak_open_masks","epoch1_online_peak_open_masks","epoch1_online_full_events","epoch1_incomplete_expected_masks","epoch2_masks","epoch2_fanout","epoch2_max_residency","epoch2_total_residency","epoch2_peak_open_masks","epoch2_online_peak_open_masks","epoch2_online_full_events","epoch2_incomplete_expected_masks","broadcast_queue_stall_cycles","broadcast_queue_full_events","broadcast_queue_applied_cycles","broadcast_queue_last_pre_stall_cycle","online_issue_blocked_channel_cycles","online_issue_busy_overlap_channel_cycles","blocked_wall_cycles","blocked_streams","min_blocked_per_stream","max_blocked_per_stream","min_issued_per_stream","max_issued_per_stream","blocked_stream_mask_low","blocked_stream_mask_high","write_queue_cycles","global_commands","global_dispatches","global_coalesced","global_dispatch_overhead_cycles","global_queue_cycles","global_service_cycles","total_refreshes","total_cycle"
"8","32","64","row_interleaved","32","0","1","0","true","64","true","114688","225460","3584","702464","0","32","3584","112","112","362973","362973","1024","0","272","0","0","2","64","2","0","1616","92512","8","64","720","42336","0","0","1","1","0","0","896","50176","608","189401","64","64","0","0","0","0","0","0","0","0","0","0","0","0","768","1616","0","0","0","92512","1616","90896","6464","17008565377","746560","0","771467"
"8","32","128","row_interleaved","32","0","1","0","true","128","true","114688","225460","3584","702464","0","32","3584","112","112","362973","362973","1024","0","272","0","0","2","64","2","0","1616","92512","8","64","720","42336","0","0","1","1","0","0","896","50176","608","189401","64","64","0","0","0","0","0","0","0","0","0","0","0","0","768","1616","0","0","0","92512","1616","90896","6464","17008565377","746560","0","771467"
"8","64","64","row_interleaved","32","0","1","0","true","64","true","114688","225460","3584","702464","0","32","3584","112","112","194359","194359","1024","0","272","0","0","2","64","2","0","1616","92512","8","64","720","42336","0","0","1","1","0","0","896","50176","728","177784","64","64","0","0","0","0","0","0","211","211","53","4","52","53","768","1616","17476","0","0","92512","1616","90896","6464","8393094553","376512","0","402168"
"8","64","128","row_interleaved","32","0","1","0","true","128","true","114688","225460","3584","702464","0","32","3584","112","112","194359","194359","1024","0","272","0","0","2","64","2","0","1616","92512","8","64","720","42336","0","0","1","1","0","0","896","50176","728","181176","78","78","0","0","0","0","0","0","0","0","0","0","0","0","768","1616","0","0","0","92512","1616","90896","6464","8393119921","376512","0","402168"
"8","128","64","row_interleaved","32","0","1","0","true","64","true","114688","225460","3584","702464","0","32","3584","112","112","109977","109977","1024","0","272","0","0","2","64","2","0","1616","92512","8","64","720","42336","0","0","1","1","0","0","896","50176","718","168944","64","64","0","0","0","0","0","0","0","0","0","0","0","0","768","1616","0","0","0","92512","1616","90896","6464","4076911749","191488","0","217408"
"8","128","128","row_interleaved","32","0","1","0","true","128","true","114688","225460","3584","702464","0","32","3584","112","112","109977","109977","1024","0","272","0","0","2","64","2","0","1616","92512","8","64","720","42336","0","0","1","1","0","0","896","50176","718","168944","64","64","0","0","0","0","0","0","0","0","0","0","0","0","768","1616","0","0","0","92512","1616","90896","6464","4076911749","191488","0","217408"
"16","32","64","row_interleaved","32","0","1","0","true","64","true","114688","225460","3584","702464","0","32","3584","112","112","192837","192837","1024","0","272","0","0","2","64","2","0","1616","92512","8","64","720","42336","0","0","1","1","0","0","896","50176","762","169598","64","64","0","0","0","0","0","0","91","91","23","4","22","23","768","1616","17476","0","0","92512","1616","90896","6464","8311542421","746560","0","398486"
"16","32","128","row_interleaved","32","0","1","0","true","128","true","114688","225460","3584","702464","0","32","3584","112","112","192837","192837","1024","0","272","0","0","2","64","2","0","1616","92512","8","64","720","42336","0","0","1","1","0","0","896","50176","762","171006","70","70","0","0","0","0","0","0","0","0","0","0","0","0","768","1616","0","0","0","92512","1616","90896","6464","8311551077","746560","0","398486"
"16","64","64","row_interleaved","32","0","1","0","true","64","true","114688","225460","3584","702464","0","32","3584","112","112","108559","108559","1024","0","272","0","0","2","64","2","0","1616","92512","8","64","720","42336","0","0","1","1","0","0","896","50176","728","177784","64","64","0","0","0","0","0","0","211","211","53","4","52","53","768","1616","17476","0","0","92512","1616","90896","6464","4013851149","376512","0","214228"
"16","64","128","row_interleaved","32","0","1","0","true","128","true","114688","225460","3584","702464","0","32","3584","112","112","108559","108559","1024","0","272","0","0","2","64","2","0","1616","92512","8","64","720","42336","0","0","1","1","0","0","896","50176","728","181176","78","78","0","0","0","0","0","0","0","0","0","0","0","0","768","1616","0","0","0","92512","1616","90896","6464","4013870709","376512","0","214228"
