pcu_count,scheduler_lanes,queue_depth,stage,requests,average_wait_cycles,p95_wait_cycles,max_wait_cycles,last_completion_cycle,central_peak_entries,central_full_cycles,source_peak_total,source_peak_per_stream,source_queued_request_cycles
16,2,64,expand_pointwise,42336,39411.7557,74862,78432,87027,64,187888,46115,836,4046862253
16,2,64,project_pointwise,50176,47639.5647,90441,94407,225702,64,187888,46115,836,4046862253
16,2,128,expand_pointwise,42336,39411.7557,74862,78432,87027,128,187522,46051,835,4034848863
16,2,128,project_pointwise,50176,47639.5647,90441,94407,225702,128,187522,46051,835,4034848863
16,2,256,expand_pointwise,42336,39411.7557,74862,78432,87027,256,186798,45923,833,4010891789
16,2,256,project_pointwise,50176,47639.5647,90441,94407,225702,256,186798,45923,833,4010891789
32,4,64,expand_pointwise,42336,17906.3917,34006,35376,43971,64,93942,42555,776,1863863495
32,4,64,project_pointwise,50176,22157.9372,42033,43605,174630,64,93942,42555,776,1863863495
32,4,128,expand_pointwise,42336,17906.3917,34006,35376,43971,128,93760,42491,775,1857856953
32,4,128,project_pointwise,50176,22157.9372,42033,43605,174630,128,93760,42491,775,1857856953
32,4,256,expand_pointwise,42336,17906.3917,34006,35376,43971,256,93394,42363,773,1845878717
32,4,256,project_pointwise,50176,22157.9372,42033,43605,174630,256,93394,42363,773,1845878717
64,8,64,expand_pointwise,42336,7153.7098,13490,13850,22443,64,46968,36021,657,772364125
64,8,64,project_pointwise,50176,9417.1235,17620,18645,149098,64,46968,36021,657,772364125
64,8,128,expand_pointwise,42336,7153.7098,13490,13850,22443,128,46878,35957,656,769361003
64,8,128,project_pointwise,50176,9417.1235,17620,18645,149098,128,46878,35957,656,769361003
64,8,256,expand_pointwise,42336,7153.7098,13490,13850,22443,256,46696,35829,654,763372193
64,8,256,project_pointwise,50176,9417.1235,17620,18645,149098,256,46696,35829,654,763372193
