pcu_count,scheduler_lanes,source_depth,central_depth,stage,requests,average_issue_delay,p95_issue_delay,max_issue_delay,average_total_wait,p95_total_wait,max_total_wait,last_completion_cycle,source_peak_total,source_peak_per_stream,source_full_stream_cycles,source_full_wall_cycles,central_peak_entries
16,2,8,64,expand_pointwise,42336,38295.2087,73710,77948,39411.7557,74862,78432,87027,504,8,10372423,182500,64
16,2,8,64,project_pointwise,50176,118681.0512,162521,167216,119766.3958,163673,167484,298891,504,8,10372423,182500,64
16,2,16,64,expand_pointwise,42336,37311.7851,72686,77596,39411.7557,74862,78432,87027,1008,16,10245383,181846,64
16,2,16,64,project_pointwise,50176,116731.3001,160478,166160,118762.4816,162655,166572,297867,1008,16,10245383,181846,64
16,2,32,64,expand_pointwise,42336,35374.7793,70638,76892,39411.7557,74862,78432,87027,2016,32,9992847,180629,64
16,2,32,64,project_pointwise,50176,112881.6160,156480,163804,116754.6670,160676,164524,295819,2016,32,9992847,180629,64
32,4,8,64,expand_pointwise,42336,17405.8891,33478,35185,17950.6928,34056,35429,44024,504,8,4740082,90392,64
32,4,8,64,project_pointwise,50176,54096.6877,74449,76261,54625.8130,74958,76439,207832,504,8,4740082,90392,64
32,4,16,64,expand_pointwise,42336,16870.5908,32918,34960,17906.3917,34006,35376,43971,1008,16,4703507,87650,64
32,4,16,64,project_pointwise,50176,53316.8488,73582,75819,54324.5975,74670,76218,207386,1008,16,4703507,87650,64
32,4,32,64,expand_pointwise,42336,15903.5110,31894,34608,17906.3917,34006,35376,43971,2016,32,4575271,86950,64
32,4,32,64,project_pointwise,50176,51387.2884,71564,74610,53319.1419,73674,75194,206219,2016,32,4575271,86950,64
64,8,8,64,expand_pointwise,42336,7187.3740,13706,14213,7436.6822,13870,14317,22892,504,8,1904687,44345,64
64,8,8,64,project_pointwise,50176,21749.4451,30370,31131,21990.6041,30521,31259,162634,504,8,1904687,44345,64
64,8,16,64,expand_pointwise,42336,6756.6786,13146,13757,7246.3005,13606,13967,22560,1008,16,1933246,42137,64
64,8,16,64,project_pointwise,50176,21671.5468,30206,31263,22152.5168,30719,31475,162702,1008,16,1933246,42137,64
64,8,32,64,expand_pointwise,42336,6185.7191,12521,13464,7153.7098,13490,13850,22443,2016,32,1871943,40381,64
64,8,32,64,project_pointwise,50176,20661.9266,29109,30602,21609.5534,30166,30970,161957,2016,32,1871943,40381,64
