layer,min_K,mean_K,max_K
substrate,306.22104192427656,308.9930132918048,320.43488556233575
interposer,306.4987353506229,309.3985636027526,321.52230686656134
logic_die,306.49839362687453,309.4002930283856,321.6259660920472
bump_0,306.4938222596545,309.34563589041727,322.1397710862235
dram_0,306.4898916772385,309.29870618069094,322.58181130667003
bump_1,306.4849467764629,309.2349205502359,321.7537522737236
dram_1,306.47999642341995,309.1711349197809,320.9267435495477
bump_2,306.4740442659465,309.1073492893259,320.24808276556985
dram_2,306.4680867282416,309.04356365887077,319.57008439952
bump_3,306.4611415091278,308.9797780284157,318.98876816551115
dram_3,306.4541909901494,308.9159923979606,318.4078927389207
bump_4,306.4462683842114,308.85220676750555,317.89338035988794
dram_4,306.4383405663265,308.78842113705036,317.37917649167275
bump_5,306.42945757663347,308.7246355065953,316.91271465744364
dram_5,306.42056946961617,308.66084987614016,316.44647860295987
bump_6,306.410744264525,308.597064245685,316.01600304306544
dram_6,306.40091404253434,308.5332786152298,315.58569909042365
bump_7,306.3901657830353,308.46949298477466,315.18309975236474
dram_7,306.3794126119131,308.4057073543195,314.78063506989633
tim,306.33355972016557,308.1546842604811,313.2981547249916
lid,306.28388224900465,307.8836826687423,311.8043350439031
