profile,varied_group,relative_delta,selected_candidate_id,selected_is_pareto
cost_first,thermal,-0.2,cand_79bdf2d4412e,True
cost_first,thermal,0.0,cand_47f1b95e9a56,True
cost_first,thermal,0.2,cand_47f1b95e9a56,True
cost_first,wirelength,-0.2,cand_47f1b95e9a56,True
cost_first,wirelength,0.0,cand_47f1b95e9a56,True
cost_first,wirelength,0.2,cand_47f1b95e9a56,True
cost_first,congestion,-0.2,cand_79bdf2d4412e,True
cost_first,congestion,0.0,cand_47f1b95e9a56,True
cost_first,congestion,0.2,cand_47f1b95e9a56,True
cost_first,timing,-0.2,cand_47f1b95e9a56,True
cost_first,timing,0.0,cand_47f1b95e9a56,True
cost_first,timing,0.2,cand_47f1b95e9a56,True
cost_first,ir_drop,-0.2,cand_47f1b95e9a56,True
cost_first,ir_drop,0.0,cand_47f1b95e9a56,True
cost_first,ir_drop,0.2,cand_47f1b95e9a56,True
cost_first,area_cost,-0.2,cand_47f1b95e9a56,True
cost_first,area_cost,0.0,cand_47f1b95e9a56,True
cost_first,area_cost,0.2,cand_79bdf2d4412e,True
balanced,thermal,-0.2,cand_47f1b95e9a56,True
balanced,thermal,0.0,cand_47f1b95e9a56,True
balanced,thermal,0.2,cand_47f1b95e9a56,True
balanced,wirelength,-0.2,cand_47f1b95e9a56,True
balanced,wirelength,0.0,cand_47f1b95e9a56,True
balanced,wirelength,0.2,cand_47f1b95e9a56,True
balanced,congestion,-0.2,cand_47f1b95e9a56,True
balanced,congestion,0.0,cand_47f1b95e9a56,True
balanced,congestion,0.2,cand_47f1b95e9a56,True
balanced,timing,-0.2,cand_47f1b95e9a56,True
balanced,timing,0.0,cand_47f1b95e9a56,True
balanced,timing,0.2,cand_47f1b95e9a56,True
balanced,ir_drop,-0.2,cand_47f1b95e9a56,True
balanced,ir_drop,0.0,cand_47f1b95e9a56,True
balanced,ir_drop,0.2,cand_47f1b95e9a56,True
balanced,area_cost,-0.2,cand_47f1b95e9a56,True
balanced,area_cost,0.0,cand_47f1b95e9a56,True
balanced,area_cost,0.2,cand_47f1b95e9a56,True
thermal_first,thermal,-0.2,cand_47f1b95e9a56,True
thermal_first,thermal,0.0,cand_40d1fe3576c0,True
thermal_first,thermal,0.2,cand_40d1fe3576c0,True
thermal_first,wirelength,-0.2,cand_40d1fe3576c0,True
thermal_first,wirelength,0.0,cand_40d1fe3576c0,True
thermal_first,wirelength,0.2,cand_47f1b95e9a56,True
thermal_first,congestion,-0.2,cand_47f1b95e9a56,True
thermal_first,congestion,0.0,cand_40d1fe3576c0,True
thermal_first,congestion,0.2,cand_40d1fe3576c0,True
thermal_first,timing,-0.2,cand_40d1fe3576c0,True
thermal_first,timing,0.0,cand_40d1fe3576c0,True
thermal_first,timing,0.2,cand_47f1b95e9a56,True
thermal_first,ir_drop,-0.2,cand_40d1fe3576c0,True
thermal_first,ir_drop,0.0,cand_40d1fe3576c0,True
thermal_first,ir_drop,0.2,cand_47f1b95e9a56,True
thermal_first,area_cost,-0.2,cand_40d1fe3576c0,True
thermal_first,area_cost,0.0,cand_40d1fe3576c0,True
thermal_first,area_cost,0.2,cand_40d1fe3576c0,True
