stack,die,channel,bank,block,mean_K,max_K
0,logic_die,-1,-1,logic_die,309.43480434504613,312.24608935630533
0,dram_0,0,0,bank_array_pim_region,311.0748004109301,311.4033489349399
0,dram_0,0,1,bank_array_pim_region,311.1600527001146,311.5180909999911
0,dram_0,0,2,bank_array_pim_region,311.32215593466424,311.73658981305425
0,dram_0,0,3,bank_array_pim_region,311.40843973247615,311.8556106428324
0,dram_0,0,4,bank_array_pim_region,310.8098507986574,311.34134902302617
0,dram_0,0,5,bank_array_pim_region,310.89975393052646,311.45641870111024
0,dram_0,0,6,bank_array_pim_region,311.07071992821375,311.67553569814993
0,dram_0,0,7,bank_array_pim_region,311.1688645833607,311.79539450039204
0,dram_0,0,8,bank_array_pim_region,309.516694173679,309.8062979315891
0,dram_0,0,9,bank_array_pim_region,309.5740770417841,309.8561834490898
0,dram_0,0,10,bank_array_pim_region,309.6869568096771,309.9546872007267
0,dram_0,0,11,bank_array_pim_region,309.79532089571376,310.04409586595625
0,dram_0,0,12,bank_array_pim_region,308.4468877226003,308.9464608036937
0,dram_0,0,13,bank_array_pim_region,308.47736239263094,309.0047012631994
0,dram_0,0,14,bank_array_pim_region,308.5370532079576,309.11944181192047
0,dram_0,0,15,bank_array_pim_region,308.5951698050641,309.2305124047125
0,dram_0,1,0,bank_array_pim_region,311.4107939964827,311.86459714180023
0,dram_0,1,1,bank_array_pim_region,311.329546710188,311.76405577156066
0,dram_0,1,2,bank_array_pim_region,311.1710811451839,311.5623526869411
0,dram_0,1,3,bank_array_pim_region,311.04947175846985,311.4112942387495
0,dram_0,1,4,bank_array_pim_region,311.1852181164511,311.8053404333434
0,dram_0,1,5,bank_array_pim_region,311.11911039043287,311.7057621292066
0,dram_0,1,6,bank_array_pim_region,310.9754286047453,311.50489827254813
0,dram_0,1,7,bank_array_pim_region,310.8660230180998,311.35442989265556
0,dram_0,1,8,bank_array_pim_region,309.90023743511205,310.12634850499217
0,dram_0,1,9,bank_array_pim_region,310.0070837038322,310.2077767735584
0,dram_0,1,10,bank_array_pim_region,310.11890821210176,310.29356737747065
0,dram_0,1,11,bank_array_pim_region,310.19074150232524,310.34293389811967
0,dram_0,1,12,bank_array_pim_region,308.6515849999161,309.33928078701535
0,dram_0,1,13,bank_array_pim_region,308.70822846629085,309.45131440716773
0,dram_0,1,14,bank_array_pim_region,308.76561195534947,309.5694079151425
0,dram_0,1,15,bank_array_pim_region,308.79989473174953,309.64764002238053
0,dram_0,2,0,bank_array_pim_region,310.9698237407245,311.31737455844
0,dram_0,2,1,bank_array_pim_region,310.93045179010824,311.2781060485046
0,dram_0,2,2,bank_array_pim_region,310.9257983587645,311.28594149332343
0,dram_0,2,3,bank_array_pim_region,310.88724780647385,311.2493330627342
0,dram_0,2,4,bank_array_pim_region,310.79448129889903,311.26074077011185
0,dram_0,2,5,bank_array_pim_region,310.7581404373793,311.22125953976035
0,dram_0,2,6,bank_array_pim_region,310.75080190993873,311.2283908372407
0,dram_0,2,7,bank_array_pim_region,310.7033407215395,311.1905801258884
0,dram_0,2,8,bank_array_pim_region,310.2244056232215,310.36008951822276
0,dram_0,2,9,bank_array_pim_region,310.22296907985924,310.3494148125258
0,dram_0,2,10,bank_array_pim_region,310.18624184032285,310.3116498745487
0,dram_0,2,11,bank_array_pim_region,310.0878236912707,310.22162972392954
0,dram_0,2,12,bank_array_pim_region,308.81103318907543,309.6873724020055
0,dram_0,2,13,bank_array_pim_region,308.79994685996917,309.6914933091035
0,dram_0,2,14,bank_array_pim_region,308.7661809588534,309.6597102836234
0,dram_0,2,15,bank_array_pim_region,308.696340719524,309.5653411807124
0,dram_0,3,0,bank_array_pim_region,310.80951145943186,311.16118462979654
0,dram_0,3,1,bank_array_pim_region,310.6913879702016,311.01983441997123
