layer,min_K,mean_K,max_K
substrate,306.5845217253348,309.02602936146434,311.6483409963452
interposer,306.878037693909,309.43306857016887,312.218368069901
logic_die,306.87746176932455,309.43480434504613,312.24608935630533
bump_0,306.87158200933726,309.3605313524696,312.04078927104104
dram_0,306.866526956086,309.29675907840465,311.86459714180023
bump_1,306.86026708540794,309.2329868043397,311.702210851565
dram_1,306.85400076462207,309.16921453027476,311.5398917546188
bump_2,306.8465541631983,309.10544225620976,311.3886142658487
dram_2,306.8391012524951,309.04166998214475,311.2373902714197
bump_3,306.8304955987319,308.9778977080797,311.0960433743303
dram_3,306.8218837919224,308.91412543401475,310.95534325091035
bump_4,306.8121494752349,308.8503531599497,310.8212523196681
dram_4,306.80240917543085,308.78658088588463,310.68719334706975
bump_5,306.7915789679025,308.7228086118196,310.55834386919594
dram_5,306.78074295907453,308.65903633775446,310.4295197318923
bump_6,306.76885167127864,308.59526406368946,310.3048573046588
dram_6,306.7569547740069,308.5314917896243,310.1802152591549
bump_7,306.74403890015674,308.4677195155592,310.0589488258603
dram_7,306.7311176167349,308.4039472414941,309.9376990453547
tim,306.67640490988504,308.15297671062854,309.4737532088245
lid,306.61715276005185,307.8820318652595,309.011382935716
