stack,die,channel,bank,block,mean_K,max_K
0,logic_die,-1,-1,logic_die,309.4348043450461,311.70220404983166
0,dram_0,0,0,bank_array_pim_region,309.85682150972104,310.1652884624112
0,dram_0,0,1,bank_array_pim_region,309.92024643323253,310.250782848419
0,dram_0,0,2,bank_array_pim_region,310.04151436755075,310.41451518112103
0,dram_0,0,3,bank_array_pim_region,310.1160607525287,310.5173635682122
0,dram_0,0,4,bank_array_pim_region,309.96312659187004,310.19712513222873
0,dram_0,0,5,bank_array_pim_region,310.03270894320025,310.2834224745067
0,dram_0,0,6,bank_array_pim_region,310.1659927769909,310.4487300954428
0,dram_0,0,7,bank_array_pim_region,310.25757312651854,310.55386579342917
0,dram_0,0,8,bank_array_pim_region,309.4368026098622,309.5184149795308
0,dram_0,0,9,bank_array_pim_region,309.4897830938187,309.56425000279353
0,dram_0,0,10,bank_array_pim_region,309.5944177337615,309.65502376883575
0,dram_0,0,11,bank_array_pim_region,309.70305441384215,309.75005533815073
0,dram_0,0,12,bank_array_pim_region,308.7780951183194,309.1499308844801
0,dram_0,0,13,bank_array_pim_region,308.8087172302065,309.2036378018977
0,dram_0,0,14,bank_array_pim_region,308.8690572466083,309.3098160993568
0,dram_0,0,15,bank_array_pim_region,308.93469491665843,309.42066357298967
0,dram_0,1,0,bank_array_pim_region,310.1389073509774,310.55297388615696
0,dram_0,1,1,bank_array_pim_region,310.11095801552415,310.52273171076433
0,dram_0,1,2,bank_array_pim_region,310.0360495704801,310.43179850446285
0,dram_0,1,3,bank_array_pim_region,309.9716023341895,310.3566684987671
0,dram_0,1,4,bank_array_pim_region,310.3020589192488,310.5923869059079
0,dram_0,1,5,bank_array_pim_region,310.3000286597545,310.5655633442611
0,dram_0,1,6,bank_array_pim_region,310.2548534123553,310.4784148960985
0,dram_0,1,7,bank_array_pim_region,310.2232001947278,310.4072705373892
0,dram_0,1,8,bank_array_pim_region,309.8170907919852,309.86470883125776
0,dram_0,1,9,bank_array_pim_region,309.941847810177,309.9902628512276
0,dram_0,1,10,bank_array_pim_region,310.0838495392142,310.13347864216223
0,dram_0,1,11,bank_array_pim_region,310.25088145864174,310.3177256892796
