layer,min_K,mean_K,max_K
substrate,307.39310656873585,309.02602936146434,311.0991468287915
interposer,307.7212318785722,309.4330685701689,311.66376033725373
logic_die,307.71982172762887,309.4348043450461,311.70220404983166
bump_0,307.7095092698354,309.3605313524696,311.4656514670406
dram_0,307.7006447850872,309.29675907840465,311.26266096616433
bump_1,307.68996083438236,309.2329868043397,311.0795355711496
dram_1,307.67926722839906,309.16921453027476,310.8965073763169
bump_2,307.66682280351455,309.1054422562097,310.7295576401111
dram_2,307.65436911605434,309.04166998214475,310.5626862370499
bump_3,307.6402411727755,308.97789770807975,310.40870387744684
dram_3,307.6261043997242,308.91412543401475,310.2547842920313
bump_4,307.6103768460683,308.8503531599497,310.1111897282256
dram_4,307.5946409300219,308.78658088588463,309.96764552698664
bump_5,307.57740358288464,308.7228086118196,309.83240056334955
dram_5,307.56015836968913,308.6590363377545,309.69719616702133
bump_6,307.54150590570384,308.59526406368946,309.5686944450085
dram_6,307.52284609534377,308.5314917896243,309.44022555122604
bump_7,307.5028770185227,308.4677195155592,309.3171939182689
dram_7,307.48290113289494,308.4039472414941,309.194188952951
tim,307.3995318359232,308.1529767106285,308.7285288917975
lid,307.3093217312362,307.8820318652595,308.3388405880685
