stack,die,channel,bank,block,mean_K,max_K
0,logic_die,-1,-1,logic_die,309.434804345046,310.9579749918045
0,dram_0,0,0,bank_array_pim_region,309.0417469154272,309.24910865688037
0,dram_0,0,1,bank_array_pim_region,309.08279149937164,309.30225248299735
0,dram_0,0,2,bank_array_pim_region,309.1627552542775,309.4058453067583
0,dram_0,0,3,bank_array_pim_region,309.2349524085678,309.49788731473166
0,dram_0,0,4,bank_array_pim_region,309.3932139990107,309.4801557513543
0,dram_0,0,5,bank_array_pim_region,309.43768411208896,309.50724459022894
0,dram_0,0,6,bank_array_pim_region,309.5232747544353,309.554759798586
0,dram_0,0,7,bank_array_pim_region,309.60051275428145,309.6186846038899
0,dram_0,0,8,bank_array_pim_region,309.94647114628447,310.0422966060645
0,dram_0,0,9,bank_array_pim_region,310.02965684053623,310.1289683811449
0,dram_0,0,10,bank_array_pim_region,310.19190930394154,310.29711624046047
0,dram_0,0,11,bank_array_pim_region,310.32344120655756,310.43441517148136
0,dram_0,0,12,bank_array_pim_region,309.1966546778031,309.77334919789905
0,dram_0,0,13,bank_array_pim_region,309.2396776363927,309.8567918368818
0,dram_0,0,14,bank_array_pim_region,309.32295077260983,310.01922472795246
0,dram_0,0,15,bank_array_pim_region,309.3900111364927,310.14961830537453
0,dram_0,1,0,bank_array_pim_region,309.2984224964378,309.5774036705407
0,dram_0,1,1,bank_array_pim_region,309.3552891460289,309.64755476935727
0,dram_0,1,2,bank_array_pim_region,309.4084741445587,309.7125753687778
0,dram_0,1,3,bank_array_pim_region,309.47003454940284,309.7888939223449
0,dram_0,1,4,bank_array_pim_region,309.66680665577707,309.68194654525524
0,dram_0,1,5,bank_array_pim_region,309.72330962559676,309.74457619579584
0,dram_0,1,6,bank_array_pim_region,309.77227045636903,309.80187532714615
0,dram_0,1,7,bank_array_pim_region,309.8251526088252,309.869258538483
0,dram_0,1,8,bank_array_pim_region,310.42263481624013,310.53788928245876
0,dram_0,1,9,bank_array_pim_region,310.4937524539726,310.6110595282895
0,dram_0,1,10,bank_array_pim_region,310.538634918557,310.6552311622856
0,dram_0,1,11,bank_array_pim_region,310.53338760846566,310.64592843245936
0,dram_0,1,12,bank_array_pim_region,309.43903132523934,310.2461947969543
0,dram_0,1,13,bank_array_pim_region,309.4714680695361,310.3134235007424
0,dram_0,1,14,bank_array_pim_region,309.48776072800155,310.35332419031675
0,dram_0,1,15,bank_array_pim_region,309.47558722547706,310.34190901018394
0,dram_0,2,0,bank_array_pim_region,309.54313362675464,309.8811024831283
0,dram_0,2,1,bank_array_pim_region,309.6302509250844,309.99290044390057
0,dram_0,2,2,bank_array_pim_region,309.7297068827452,310.12243538335173
0,dram_0,2,3,bank_array_pim_region,309.7759164841789,310.1825894077141
0,dram_0,2,4,bank_array_pim_region,309.88524334370953,309.95154816209237
0,dram_0,2,5,bank_array_pim_region,309.95588003871217,310.0575819333839
0,dram_0,2,6,bank_array_pim_region,310.0371402804469,310.1853356424042
0,dram_0,2,7,bank_array_pim_region,310.0663733240983,310.24372406808345
0,dram_0,2,8,bank_array_pim_region,310.47584107947625,310.58097306587894
0,dram_0,2,9,bank_array_pim_region,310.3633001743028,310.4582534254078
0,dram_0,2,10,bank_array_pim_region,310.1963029563688,310.27968198525406
0,dram_0,2,11,bank_array_pim_region,310.0579707543907,310.13088753678403
0,dram_0,2,12,bank_array_pim_region,309.4339273384736,310.2771350885486
0,dram_0,2,13,bank_array_pim_region,309.3619464296774,310.1566171798773
0,dram_0,2,14,bank_array_pim_region,309.26094372621094,309.9815628644462
0,dram_0,2,15,bank_array_pim_region,309.17413632170553,309.83655773666885
0,dram_0,3,0,bank_array_pim_region,309.76581099268645,310.1694749946975
0,dram_0,3,1,bank_array_pim_region,309.6996993911312,310.0835583342373
0,dram_0,3,2,bank_array_pim_region,309.5836909295671,309.93292196909096
0,dram_0,3,3,bank_array_pim_region,309.5233923738047,309.8582840123671
0,dram_0,3,4,bank_array_pim_region,310.04232172190643,310.22894383336813
0,dram_0,3,5,bank_array_pim_region,309.96634320896516,310.14151957731536
0,dram_0,3,6,bank_array_pim_region,309.84520021170886,309.9895546873495
0,dram_0,3,7,bank_array_pim_region,309.78511122247625,309.9137439004722
0,dram_0,3,8,bank_array_pim_region,309.94791705563495,310.0129112825333
0,dram_0,3,9,bank_array_pim_region,309.8620225395473,309.92241308758923
0,dram_0,3,10,bank_array_pim_region,309.80075352694365,309.8604049173379
0,dram_0,3,11,bank_array_pim_region,309.81501900358666,309.8784915475033
0,dram_0,3,12,bank_array_pim_region,309.1024210013541,309.7217136578841
0,dram_0,3,13,bank_array_pim_region,309.04440491454886,309.63296615421797
0,dram_0,3,14,bank_array_pim_region,309.00071955116664,309.5708157237463
0,dram_0,3,15,bank_array_pim_region,308.99710524169313,309.586669590117
0,dram_0,4,0,bank_array_pim_region,309.5253355699185,309.8683555118623
0,dram_0,4,1,bank_array_pim_region,309.5900859245759,309.96404412432486
0,dram_0,4,2,bank_array_pim_region,309.70927129186543,310.13446029222933
0,dram_0,4,3,bank_array_pim_region,309.72937720217243,310.17518410654657
0,dram_0,4,4,bank_array_pim_region,309.7920953974863,309.9227307652265
0,dram_0,4,5,bank_array_pim_region,309.8650416733342,310.0173202751568
0,dram_0,4,6,bank_array_pim_region,309.9922022466488,310.1865036951343
0,dram_0,4,7,bank_array_pim_region,310.01398246847754,310.2257520042506
0,dram_0,4,8,bank_array_pim_region,309.9109368399289,309.9825654617583
0,dram_0,4,9,bank_array_pim_region,310.0938425702718,310.1767505560846
0,dram_0,4,10,bank_array_pim_region,310.3561633297168,310.4506669856754
0,dram_0,4,11,bank_array_pim_region,310.4506079957117,310.55148742096867
0,dram_0,4,12,bank_array_pim_region,309.03624238065817,309.68690212500144
0,dram_0,4,13,bank_array_pim_region,309.11975065991453,309.8769774998783
0,dram_0,4,14,bank_array_pim_region,309.2419050718227,310.148727119152
0,dram_0,4,15,bank_array_pim_region,309.27580922642176,310.2519945472809
0,dram_0,5,0,bank_array_pim_region,309.6405202130602,310.0731077845146
0,dram_0,5,1,bank_array_pim_region,309.44049762754975,309.82504639736743
0,dram_0,5,2,bank_array_pim_region,309.13466676300607,309.437558323934
0,dram_0,5,3,bank_array_pim_region,308.8716636883329,309.1079925292053
0,dram_0,5,4,bank_array_pim_region,309.91770454162383,310.121886636712
0,dram_0,5,5,bank_array_pim_region,309.7008854316679,309.8717089933246
0,dram_0,5,6,bank_array_pim_region,309.3711193974628,309.48182422469637
0,dram_0,5,7,bank_array_pim_region,309.0825823559464,309.1496762769419
0,dram_0,5,8,bank_array_pim_region,310.36537998581673,310.4649741003949
0,dram_0,5,9,bank_array_pim_region,310.09840895163507,310.1888381235457
0,dram_0,5,10,bank_array_pim_region,309.6572282981293,309.732608956973
0,dram_0,5,11,bank_array_pim_region,309.2844929292986,309.34401556376116
0,dram_0,5,12,bank_array_pim_region,309.21409819114194,310.174159828322
0,dram_0,5,13,bank_array_pim_region,309.0557306666122,309.9130265083131
0,dram_0,5,14,bank_array_pim_region,308.8059357825532,309.47666968741675
0,dram_0,5,15,bank_array_pim_region,308.5893147660056,309.1102434203673
0,dram_0,6,0,bank_array_pim_region,308.65448793052843,308.8394360691282
0,dram_0,6,1,bank_array_pim_region,308.47718067117876,308.6230810784823
0,dram_0,6,2,bank_array_pim_region,308.33411580725414,308.4506839382705
0,dram_0,6,3,bank_array_pim_region,308.22080200290344,308.31565985134034
0,dram_0,6,4,bank_array_pim_region,308.8411655079715,308.8784732741403
0,dram_0,6,5,bank_array_pim_region,308.6422537205303,308.6611926985498
0,dram_0,6,6,bank_array_pim_region,308.48075572180534,308.49089790379605
0,dram_0,6,7,bank_array_pim_region,308.3523116911912,308.3570939537204
0,dram_0,6,8,bank_array_pim_region,308.982524338675,309.0277232562614
0,dram_0,6,9,bank_array_pim_region,308.7401048951349,308.7733343111227
0,dram_0,6,10,bank_array_pim_region,308.5472934087971,308.57419938985464
0,dram_0,6,11,bank_array_pim_region,308.39640236256514,308.4216544372928
0,dram_0,6,12,bank_array_pim_region,308.40904692633603,308.81617621500857
0,dram_0,6,13,bank_array_pim_region,308.2607624040072,308.5825209837706
0,dram_0,6,14,bank_array_pim_region,308.1402729348643,308.3984982035216
0,dram_0,6,15,bank_array_pim_region,308.0442400397201,308.25572462641816
0,dram_0,7,0,bank_array_pim_region,308.1338117792572,308.21298522370085
0,dram_0,7,1,bank_array_pim_region,308.07061208937904,308.13895490049583
0,dram_0,7,2,bank_array_pim_region,308.0294200194075,308.0909688866825
0,dram_0,7,3,bank_array_pim_region,308.0091001335478,308.0673764615555
0,dram_0,7,4,bank_array_pim_region,308.2534404609461,308.260259488233
0,dram_0,7,5,bank_array_pim_region,308.18148729260486,308.1919032273572
0,dram_0,7,6,bank_array_pim_region,308.13454257789874,308.1468805017687
0,dram_0,7,7,bank_array_pim_region,308.11137269654904,308.1245414815573
0,dram_0,7,8,bank_array_pim_region,308.2816903371527,308.3057907397735
0,dram_0,7,9,bank_array_pim_region,308.19897943329994,308.22229807105083
0,dram_0,7,10,bank_array_pim_region,308.1453612832491,308.16819127499633
0,dram_0,7,11,bank_array_pim_region,308.11899742461895,308.1415915660431
0,dram_0,7,12,bank_array_pim_region,307.9701227439963,308.1479552784501
0,dram_0,7,13,bank_array_pim_region,307.91604620121177,308.07067754208725
0,dram_0,7,14,bank_array_pim_region,307.880691467102,308.0207761572723
0,dram_0,7,15,bank_array_pim_region,307.86321847371397,307.9962964551134
0,dram_1,0,0,bank_array_pim_region,308.9691152220812,309.1640321623806
0,dram_1,0,1,bank_array_pim_region,309.00238807119746,309.20690976353734
0,dram_1,0,2,bank_array_pim_region,309.0632678379441,309.2852399666963
0,dram_1,0,3,bank_array_pim_region,309.1248376760441,309.3633652790845
0,dram_1,0,4,bank_array_pim_region,309.3066132174605,309.3948223087551
0,dram_1,0,5,bank_array_pim_region,309.3427413050372,309.4182948531757
0,dram_1,0,6,bank_array_pim_region,309.4082313647389,309.45926044932895
0,dram_1,0,7,bank_array_pim_region,309.47395988076516,309.50552127587116
0,dram_1,0,8,bank_array_pim_region,309.81964385411595,309.908929075975
0,dram_1,0,9,bank_array_pim_region,309.88510834320437,309.9773380834538
0,dram_1,0,10,bank_array_pim_region,310.00321752095687,310.10037113503125
0,dram_1,0,11,bank_array_pim_region,310.11082700104026,310.2129058631415
0,dram_1,0,12,bank_array_pim_region,309.1129407379873,309.65061998133194
0,dram_1,0,13,bank_array_pim_region,309.1467888221246,309.71609926908894
0,dram_1,0,14,bank_array_pim_region,309.20743146189204,309.83393616639853
0,dram_1,0,15,bank_array_pim_region,309.26203077739723,309.9401446523828
0,dram_1,1,0,bank_array_pim_region,309.18193357743473,309.4346889259049
0,dram_1,1,1,bank_array_pim_region,309.23486459478744,309.4999361916933
0,dram_1,1,2,bank_array_pim_region,309.2861990927968,309.5628565112477
0,dram_1,1,3,bank_array_pim_region,309.34305730541337,309.63328195893416
0,dram_1,1,4,bank_array_pim_region,309.53325040611605,309.5493965171542
0,dram_1,1,5,bank_array_pim_region,309.5854577582454,309.59582286239544
0,dram_1,1,6,bank_array_pim_region,309.6325004845684,309.6514244097584
0,dram_1,1,7,bank_array_pim_region,309.68103506921244,309.7134043151755
0,dram_1,1,8,bank_array_pim_region,310.1955545798028,310.3012989212149
0,dram_1,1,9,bank_array_pim_region,310.25582669506264,310.36323395131683
0,dram_1,1,10,bank_array_pim_region,310.2893482303063,310.395891800991
0,dram_1,1,11,bank_array_pim_region,310.2822395241467,310.3849374057538
0,dram_1,1,12,bank_array_pim_region,309.30345062050884,310.0221749949332
0,dram_1,1,13,bank_array_pim_region,309.33025045225355,310.07859684792976
0,dram_1,1,14,bank_array_pim_region,309.3408227958622,310.1072604056712
0,dram_1,1,15,bank_array_pim_region,309.32792351423666,310.094275940487
0,dram_1,2,0,bank_array_pim_region,309.40799755080667,309.71498190630007
0,dram_1,2,1,bank_array_pim_region,309.4809671039729,309.8082599958205
0,dram_1,2,2,bank_array_pim_region,309.5545123506385,309.9035431381952
0,dram_1,2,3,bank_array_pim_region,309.59097529400304,309.9509289690512
0,dram_1,2,4,bank_array_pim_region,309.73376680975497,309.7857643944093
0,dram_1,2,5,bank_array_pim_region,309.7914748285397,309.8710605563653
0,dram_1,2,6,bank_array_pim_region,309.84833374990234,309.9646215587185
0,dram_1,2,7,bank_array_pim_region,309.8691170628969,310.0102981441821
0,dram_1,2,8,bank_array_pim_region,310.2312319611918,310.3271217405077
0,dram_1,2,9,bank_array_pim_region,310.1363652646627,310.2230574707199
0,dram_1,2,10,bank_array_pim_region,310.0062431216407,310.08261772857526
0,dram_1,2,11,bank_array_pim_region,309.88851241666055,309.95548240306124
0,dram_1,2,12,bank_array_pim_region,309.28999479223774,310.0365164561764
0,dram_1,2,13,bank_array_pim_region,309.2275516374717,309.9343420688426
0,dram_1,2,14,bank_array_pim_region,309.1458521635334,309.7969887375142
0,dram_1,2,15,bank_array_pim_region,309.0701126592411,309.6732165385409
0,dram_1,3,0,bank_array_pim_region,309.5828865114114,309.940651519115
0,dram_1,3,1,bank_array_pim_region,309.5318978171725,309.8749693290905
0,dram_1,3,2,bank_array_pim_region,309.4519690085167,309.7724450991878
0,dram_1,3,3,bank_array_pim_region,309.40424088918485,309.71452483060244
0,dram_1,3,4,bank_array_pim_region,309.84804731309606,309.99840352654064
0,dram_1,3,5,bank_array_pim_region,309.78780504009865,309.93125124129745
0,dram_1,3,6,bank_array_pim_region,309.70297155208607,309.8274235905036
0,dram_1,3,7,bank_array_pim_region,309.65507777035174,309.7683446263493
0,dram_1,3,8,bank_array_pim_region,309.79188468744513,309.85169648934504
0,dram_1,3,9,bank_array_pim_region,309.7179356467482,309.77361235038666
0,dram_1,3,10,bank_array_pim_region,309.67258656472063,309.72767301726685
0,dram_1,3,11,bank_array_pim_region,309.6849702995644,309.7434818585376
0,dram_1,3,12,bank_array_pim_region,309.00570805428026,309.5722234566399
0,dram_1,3,13,bank_array_pim_region,308.9540749915084,309.4956939795556
0,dram_1,3,14,bank_array_pim_region,308.91855323794636,309.44961356324126
0,dram_1,3,15,bank_array_pim_region,308.9138869902905,309.46344713384923
0,dram_1,4,0,bank_array_pim_region,309.40196539209256,309.7188840538551
0,dram_1,4,1,bank_array_pim_region,309.4437983115044,309.78387060893175
0,dram_1,4,2,bank_array_pim_region,309.50978245552903,309.8831179362069
0,dram_1,4,3,bank_array_pim_region,309.5106573634335,309.89784179245726
0,dram_1,4,4,bank_array_pim_region,309.65682602094546,309.771626658402
0,dram_1,4,5,bank_array_pim_region,309.70523351740394,309.8355216369055
0,dram_1,4,6,bank_array_pim_region,309.777241098807,309.93355203427984
0,dram_1,4,7,bank_array_pim_region,309.7787993685064,309.9468323213775
0,dram_1,4,8,bank_array_pim_region,309.76171627650547,309.8273882703497
0,dram_1,4,9,bank_array_pim_region,309.8998159526143,309.9751780546079
0,dram_1,4,10,bank_array_pim_region,310.06984470345105,310.15485037033625
0,dram_1,4,11,bank_array_pim_region,310.12919542135774,310.21950825015495
0,dram_1,4,12,bank_array_pim_region,308.9430046797236,309.54402101454957
0,dram_1,4,13,bank_array_pim_region,309.0033917684082,309.68836828463895
0,dram_1,4,14,bank_array_pim_region,309.07855907644716,309.8664826423644
0,dram_1,4,15,bank_array_pim_region,309.09462299779284,309.9337840890793
0,dram_1,5,0,bank_array_pim_region,309.4257866045965,309.80057582355016
0,dram_1,5,1,bank_array_pim_region,309.2533319681351,309.5886257608063
0,dram_1,5,2,bank_array_pim_region,309.01024473595436,309.2840406879656
0,dram_1,5,3,bank_array_pim_region,308.782156363724,309.00021492840074
0,dram_1,5,4,bank_array_pim_region,309.68676295752937,309.847830559586
0,dram_1,5,5,bank_array_pim_region,309.4990350902368,309.6338399650471
0,dram_1,5,6,bank_array_pim_region,309.2345639258242,309.32695333384595
0,dram_1,5,7,bank_array_pim_region,308.9832801033455,309.04065376841464
0,dram_1,5,8,bank_array_pim_region,310.04727373234914,310.13637238654803
0,dram_1,5,9,bank_array_pim_region,309.82226694463674,309.90342820066144
0,dram_1,5,10,bank_array_pim_region,309.4810857345748,309.54936187090334
0,dram_1,5,11,bank_array_pim_region,309.16251197960753,309.21682560952536
0,dram_1,5,12,bank_array_pim_region,309.0349775422858,309.8589251913467
0,dram_1,5,13,bank_array_pim_region,308.8987210690752,309.63997182177206
0,dram_1,5,14,bank_array_pim_region,308.7006356162176,309.3043185579985
0,dram_1,5,15,bank_array_pim_region,308.5127384942558,308.9923764530298
0,dram_1,6,0,bank_array_pim_region,308.5859080533613,308.7587433534691
0,dram_1,6,1,bank_array_pim_region,308.4222278343542,308.55977780929953
0,dram_1,6,2,bank_array_pim_region,308.28851589382344,308.39914295073737
0,dram_1,6,3,bank_array_pim_region,308.18179808267865,308.27230023013163
0,dram_1,6,4,bank_array_pim_region,308.76470064044014,308.7966497668603
0,dram_1,6,5,bank_array_pim_region,308.5809198495088,308.59781397496687
0,dram_1,6,6,bank_array_pim_region,308.4299391964919,308.4390100198788
0,dram_1,6,7,bank_array_pim_region,308.30897857929153,308.3132113596399
0,dram_1,6,8,bank_array_pim_region,308.8920898710497,308.9335295708121
0,dram_1,6,9,bank_array_pim_region,308.66968502612576,308.700213379566
0,dram_1,6,10,bank_array_pim_region,308.4903080949079,308.51661221290493
0,dram_1,6,11,bank_array_pim_region,308.348720060432,308.3734890408159
0,dram_1,6,12,bank_array_pim_region,308.34968344423896,308.72982225408305
0,dram_1,6,13,bank_array_pim_region,308.2126275989249,308.5159398356814
