layer,min_K,mean_K,max_K
substrate,307.44139669010303,309.02602936146434,310.4435585824219
interposer,307.77159445719843,309.43306857016887,310.9371205107986
logic_die,307.77013708700184,309.434804345046,310.9579749918045
bump_0,307.7595721566503,309.3605313524695,310.7923738886959
dram_0,307.7504906948452,309.2967590784046,310.6552311622856
bump_1,307.73955362617727,309.23298680433965,310.52554289594053
dram_1,307.72860671114955,309.1692145302747,310.395891800991
bump_2,307.7158744613845,309.1054422562097,310.2725324368329
dram_2,307.703132767718,309.04166998214475,310.14920464782443
bump_3,307.68868428487923,308.9778977080797,310.03126145743903
dram_3,307.6742268027796,308.9141254340147,309.9133453338623
bump_4,307.65814840155053,308.8503531599497,309.800053648429
dram_4,307.6420614826096,308.78658088588463,309.68678519013076
bump_5,307.62444583783036,308.7228086118196,309.57748141216376
dram_5,307.60682218829777,308.65903633775446,309.4681975046841
bump_6,307.58776729758233,308.5952640636894,309.36229677419453
dram_6,307.5687049408677,308.5314917896243,309.256412945195
bump_7,307.54831307479856,308.46771951555917,309.15339589608936
dram_7,307.527914301637,308.40394724149405,309.05039310414395
tim,307.4428174055066,308.15297671062854,308.6569418276381
lid,307.3507407095028,307.8820318652595,308.25255815268474
