stack,die,channel,bank,block,mean_K,max_K
0,logic_die,-1,-1,logic_die,309.434804345046,313.7350421066808
0,dram_0,0,0,bank_array_pim_region,311.7029282530633,311.96204649716697
0,dram_0,0,1,bank_array_pim_region,311.79622549933396,312.085890234031
0,dram_0,0,2,bank_array_pim_region,311.9785106594359,312.32825507939015
0,dram_0,0,3,bank_array_pim_region,312.1478118358448,312.5539430954258
0,dram_0,0,4,bank_array_pim_region,311.0666281050204,311.813363180652
0,dram_0,0,5,bank_array_pim_region,311.1611195281841,311.93736578085947
0,dram_0,0,6,bank_array_pim_region,311.34557100726965,312.1800451953674
0,dram_0,0,7,bank_array_pim_region,311.5173286119383,312.4061980673926
0,dram_0,0,8,bank_array_pim_region,309.15746204086753,309.63420860786215
0,dram_0,0,9,bank_array_pim_region,309.2000270741844,309.6751600133169
0,dram_0,0,10,bank_array_pim_region,309.282710029859,309.7551224096909
0,dram_0,0,11,bank_array_pim_region,309.34916877841357,309.8195420373962
0,dram_0,0,12,bank_array_pim_region,308.1890855878688,308.5117908655843
0,dram_0,0,13,bank_array_pim_region,308.2203644597064,308.55452543495676
0,dram_0,0,14,bank_array_pim_region,308.28085450407843,308.63742302858634
0,dram_0,0,15,bank_array_pim_region,308.32765631123954,308.703634509473
0,dram_0,1,0,bank_array_pim_region,312.3030387964624,312.762460695191
0,dram_0,1,1,bank_array_pim_region,312.44944961644956,312.96183811540214
0,dram_0,1,2,bank_array_pim_region,312.586922347656,313.15286980023933
0,dram_0,1,3,bank_array_pim_region,312.63240177293494,313.2255871761916
0,dram_0,1,4,bank_array_pim_region,311.6753548072212,312.61532426818786
0,dram_0,1,5,bank_array_pim_region,311.82538624952394,312.8154465248333
0,dram_0,1,6,bank_array_pim_region,311.967959609417,313.0073502497149
0,dram_0,1,7,bank_array_pim_region,312.0188966430649,313.08105647589855
0,dram_0,1,8,bank_array_pim_region,309.3983187935558,309.8670751682549
0,dram_0,1,9,bank_array_pim_region,309.4355264973668,309.9016690414791
0,dram_0,1,10,bank_array_pim_region,309.5153389695332,309.9758329115894
0,dram_0,1,11,bank_array_pim_region,309.54517859832765,309.999912693894
0,dram_0,1,12,bank_array_pim_region,308.3597990940357,308.7523471036565
0,dram_0,1,13,bank_array_pim_region,308.3814016734136,308.78965233518466
0,dram_0,1,14,bank_array_pim_region,308.43353008305337,308.8710317002136
0,dram_0,1,15,bank_array_pim_region,308.44549091879884,308.90309752893955
0,dram_0,2,0,bank_array_pim_region,312.58232900403124,313.17570695098203
0,dram_0,2,1,bank_array_pim_region,312.43625997911306,313.00272042136237
0,dram_0,2,2,bank_array_pim_region,312.19684834823147,312.7098700290337
0,dram_0,2,3,bank_array_pim_region,311.9461920972063,312.40601165679874
0,dram_0,2,4,bank_array_pim_region,311.9741170417627,313.0322723129757
0,dram_0,2,5,bank_array_pim_region,311.8329990944201,312.860482594367
0,dram_0,2,6,bank_array_pim_region,311.59830724014876,312.5689276355846
0,dram_0,2,7,bank_array_pim_region,311.3527177951158,312.2664651478428
0,dram_0,2,8,bank_array_pim_region,309.5206738918462,309.97069254629656
0,dram_0,2,9,bank_array_pim_region,309.44186830696526,309.8885224429615
0,dram_0,2,10,bank_array_pim_region,309.31047946718195,309.7547835333854
0,dram_0,2,11,bank_array_pim_region,309.1714366578689,309.6128584733342
0,dram_0,2,12,bank_array_pim_region,308.41312051171207,308.8812938614765
0,dram_0,2,13,bank_array_pim_region,308.3358262442139,308.8058503080272
0,dram_0,2,14,bank_array_pim_region,308.2152774855863,308.6789934174242
0,dram_0,2,15,bank_array_pim_region,308.09810053223396,308.54661424243244
0,dram_0,3,0,bank_array_pim_region,311.6833671033126,312.08911330952446
0,dram_0,3,1,bank_array_pim_region,311.40193998962593,311.7497210186867
0,dram_0,3,2,bank_array_pim_region,311.10164931912254,311.3866426449025
0,dram_0,3,3,bank_array_pim_region,310.8828740492298,311.1330208899857
0,dram_0,3,4,bank_array_pim_region,311.0954090392253,311.95106729877045
0,dram_0,3,5,bank_array_pim_region,310.8199015871156,311.61328479477623
0,dram_0,3,6,bank_array_pim_region,310.52605000566916,311.25192880325244
0,dram_0,3,7,bank_array_pim_region,310.31487126974537,311.00014173909784
0,dram_0,3,8,bank_array_pim_region,309.0243729890734,309.462254830197
0,dram_0,3,9,bank_array_pim_region,308.865900840888,309.29990701807935
0,dram_0,3,10,bank_array_pim_region,308.6953051681344,309.1250021073161
0,dram_0,3,11,bank_array_pim_region,308.56001588826507,308.9833702047857
0,dram_0,3,12,bank_array_pim_region,307.98473447507945,308.4085669483064
0,dram_0,3,13,bank_array_pim_region,307.87270648421605,308.26121959844573
0,dram_0,3,14,bank_array_pim_region,307.7611286278341,308.10348520088803
0,dram_0,3,15,bank_array_pim_region,307.67373792524484,307.9827672827853
0,dram_0,4,0,bank_array_pim_region,310.74795998387555,310.9915490692876
0,dram_0,4,1,bank_array_pim_region,310.6941272141231,310.9583827141161
0,dram_0,4,2,bank_array_pim_region,310.71031983879277,311.0188759022904
0,dram_0,4,3,bank_array_pim_region,310.64085885065555,310.9656269036259
0,dram_0,4,4,bank_array_pim_region,310.18889682577776,310.8606106292433
0,dram_0,4,5,bank_array_pim_region,310.14530764288287,310.8294772749832
0,dram_0,4,6,bank_array_pim_region,310.1727603173647,310.8920746866509
0,dram_0,4,7,bank_array_pim_region,310.11475491892264,310.8409744004879
0,dram_0,4,8,bank_array_pim_region,308.4602677986886,308.8748347998186
0,dram_0,4,9,bank_array_pim_region,308.394033984015,308.79740309746893
0,dram_0,4,10,bank_array_pim_region,308.3567164135268,308.7470165628025
0,dram_0,4,11,bank_array_pim_region,308.2927833454033,308.67008935331467
0,dram_0,4,12,bank_array_pim_region,307.6107076721635,307.898963529786
0,dram_0,4,13,bank_array_pim_region,307.5711074352211,307.84970436892104
0,dram_0,4,14,bank_array_pim_region,307.55186826081524,307.82999223481016
0,dram_0,4,15,bank_array_pim_region,307.5112274767154,307.7834839913114
0,dram_0,5,0,bank_array_pim_region,310.4741050968473,310.78314546759896
0,dram_0,5,1,bank_array_pim_region,310.206423831846,310.46632760663704
0,dram_0,5,2,bank_array_pim_region,309.84199854286584,310.0201727832147
0,dram_0,5,3,bank_array_pim_region,309.5284996805642,309.64855671341957
0,dram_0,5,4,bank_array_pim_region,309.9592879417849,310.6606563805817
0,dram_0,5,5,bank_array_pim_region,309.7025355479134,310.3459859095913
0,dram_0,5,6,bank_array_pim_region,309.348658741147,309.9019317287844
0,dram_0,5,7,bank_array_pim_region,309.04574182404787,309.5245364171503
0,dram_0,5,8,bank_array_pim_region,308.19784648115944,308.5628653228625
0,dram_0,5,9,bank_array_pim_region,308.0703256736117,308.4239821669129
0,dram_0,5,10,bank_array_pim_region,307.9113639711602,308.2544212877543
0,dram_0,5,11,bank_array_pim_region,307.7729904527631,308.10482839344616
0,dram_0,5,12,bank_array_pim_region,307.4460372402846,307.70547569616883
0,dram_0,5,13,bank_array_pim_region,307.35531999691733,307.59422800862234
0,dram_0,5,14,bank_array_pim_region,307.2402134256036,307.4508466834038
0,dram_0,5,15,bank_array_pim_region,307.1403050751381,307.32772019170005
0,dram_0,6,0,bank_array_pim_region,309.26813133615605,309.35013040528446
0,dram_0,6,1,bank_array_pim_region,309.05428052620675,309.10943183368454
0,dram_0,6,2,bank_array_pim_region,308.8807861968584,308.9171430000095
0,dram_0,6,3,bank_array_pim_region,308.74272437289665,308.76603658410966
0,dram_0,6,4,bank_array_pim_region,308.7958581101077,309.2158071450939
0,dram_0,6,5,bank_array_pim_region,308.59206047874005,308.9660418566306
0,dram_0,6,6,bank_array_pim_region,308.42782676183253,308.766259401423
0,dram_0,6,7,bank_array_pim_region,308.29791582094515,308.60927325643706
0,dram_0,6,8,bank_array_pim_region,307.6558884192307,307.9760101395225
0,dram_0,6,9,bank_array_pim_region,307.557845939189,307.86636604376775
0,dram_0,6,10,bank_array_pim_region,307.4768807077521,307.7745485448319
0,dram_0,6,11,bank_array_pim_region,307.41144204962643,307.69951334095356
0,dram_0,6,12,bank_array_pim_region,307.0562288024889,307.2253349180934
0,dram_0,6,13,bank_array_pim_region,306.986262272363,307.14108797696315
0,dram_0,6,14,bank_array_pim_region,306.9288054598563,307.0725978253828
0,dram_0,6,15,bank_array_pim_region,306.8825875319735,307.0179779243406
0,dram_0,7,0,bank_array_pim_region,308.63632427378025,308.65670294894835
0,dram_0,7,1,bank_array_pim_region,308.55878899144136,308.5820020562371
0,dram_0,7,2,bank_array_pim_region,308.5081437937558,308.5332206545916
0,dram_0,7,3,bank_array_pim_region,308.4831281905439,308.51102021848027
0,dram_0,7,4,bank_array_pim_region,308.1983046768269,308.4895785911168
0,dram_0,7,5,bank_array_pim_region,308.12600901956876,308.40309801497375
0,dram_0,7,6,bank_array_pim_region,308.07892401579096,308.34695965723614
0,dram_0,7,7,bank_array_pim_region,308.05570794931765,308.3193349949133
0,dram_0,7,8,bank_array_pim_region,307.36035373334937,307.640441125731
0,dram_0,7,9,bank_array_pim_region,307.3227449842166,307.5966928213842
0,dram_0,7,10,bank_array_pim_region,307.2979997340517,307.56779220910374
0,dram_0,7,11,bank_array_pim_region,307.2857234523744,307.5534215231476
0,dram_0,7,12,bank_array_pim_region,306.8466417539079,306.97579657001586
0,dram_0,7,13,bank_array_pim_region,306.8202555220053,306.9450019772163
0,dram_0,7,14,bank_array_pim_region,306.8029283592151,306.9248583247826
0,dram_0,7,15,bank_array_pim_region,306.79434208027095,306.91489946785185
0,dram_1,0,0,bank_array_pim_region,311.5441960374475,311.7761282999109
0,dram_1,0,1,bank_array_pim_region,311.6193478778582,311.8759294193247
0,dram_1,0,2,bank_array_pim_region,311.75725333829746,312.0593943482239
0,dram_1,0,3,bank_array_pim_region,311.89866089461526,312.2482329547495
0,dram_1,0,4,bank_array_pim_region,310.91367914104296,311.62839476757216
0,dram_1,0,5,bank_array_pim_region,310.9898605823181,311.72835197928475
0,dram_1,0,6,bank_array_pim_region,311.1296331175492,311.91212625367575
0,dram_1,0,7,bank_array_pim_region,311.2732918382344,312.10142255919004
0,dram_1,0,8,bank_array_pim_region,309.0722441489106,309.54180293145345
0,dram_1,0,9,bank_array_pim_region,309.1057731786289,309.5741129488714
0,dram_1,0,10,bank_array_pim_region,309.16610748623043,309.6324518913514
0,dram_1,0,11,bank_array_pim_region,309.2209875879188,309.68571463201516
0,dram_1,0,12,bank_array_pim_region,308.12581116906614,308.435983406484
0,dram_1,0,13,bank_array_pim_region,308.150246439236,308.4695822587842
0,dram_1,0,14,bank_array_pim_region,308.19387098489904,308.5299549620778
0,dram_1,0,15,bank_array_pim_region,308.2320334099594,308.58455221898475
0,dram_1,1,0,bank_array_pim_region,312.03148012051173,312.427222493913
0,dram_1,1,1,bank_array_pim_region,312.15281954865304,312.59346296277437
0,dram_1,1,2,bank_array_pim_region,312.2529168306996,312.7348335101292
0,dram_1,1,3,bank_array_pim_region,312.2833882721743,312.78754189620645
0,dram_1,1,4,bank_array_pim_region,311.40878710496645,312.2810121519937
0,dram_1,1,5,bank_array_pim_region,311.5336053392997,312.44798805882357
0,dram_1,1,6,bank_array_pim_region,311.63838842393824,312.5902210266371
0,dram_1,1,7,bank_array_pim_region,311.6740099569169,312.6439091811696
0,dram_1,1,8,bank_array_pim_region,309.2648377463206,309.7281148676039
0,dram_1,1,9,bank_array_pim_region,309.3017989886163,309.762660757842
0,dram_1,1,10,bank_array_pim_region,309.35303444195813,309.8092253171519
