layer,min_K,mean_K,max_K
substrate,306.4302742007779,309.0260293614642,313.06387197662065
interposer,306.7167285549429,309.43306857016887,313.7041085632776
logic_die,306.7160673793149,309.434804345046,313.7350421066808
bump_0,306.70984560643836,309.3605313524695,313.4608873748883
dram_0,306.7044967102579,309.29675907840453,313.2255871761916
bump_1,306.6979112369033,309.2329868043396,313.0065238721768
dram_1,306.6913191553365,309.16921453027464,312.78754189620645
bump_2,306.68352009088335,309.1054422562097,312.5823968337849
dram_2,306.67571458772363,309.04166998214464,312.3773209129178
bump_3,306.6667351856876,308.9778977080797,312.1839759121393
dram_3,306.657749532195,308.9141254340147,311.9906895209117
bump_4,306.647626135543,308.85035315994963,311.8073455222651
dram_4,306.6374966901251,308.7865808858846,311.62405121590695
bump_5,306.62626829509236,308.7228086118195,311.44919030503956
dram_5,306.6150340670653,308.6590363377544,311.274371544882
bump_6,306.60274188236315,308.59526406368934,311.1088058891406
dram_6,306.5904440911609,308.5314917896243,310.9447875096299
bump_7,306.5771311017023,308.46771951555917,310.78613866051387
dram_7,306.5638127406425,308.40394724149405,310.6285124529404
tim,306.50757775408374,308.1529767106285,310.0577284944244
lid,306.4466868636932,307.8820318652594,309.51570652927103
