layer,min_K,mean_K,max_K
substrate,316.17692305869315,325.588367141204,341.8924005761755
interposer,316.899955170468,326.74230408247575,343.9124685915851
logic_die,316.8995638489678,326.7472249223105,343.9916774558355
bump_0,316.8900963139462,326.7200181593931,344.04487663734164
dram_0,316.8819546893422,326.6966578896503,344.09081365042505
bump_1,316.87148711397157,326.6598128833245,344.07705142097535
dram_1,316.8610069934337,326.6229678769987,344.0635509489339
bump_2,316.84821390485996,326.57263813408997,343.990785552679
dram_2,316.8354083464702,326.5223083911811,343.918283624243
bump_3,316.8203047001993,326.4584939116894,343.7867146014668
dram_3,316.8051886694865,326.3946794321976,343.6554091930835
bump_4,316.7877912400552,326.31738021612284,343.4648928147031
dram_4,316.7703815210766,326.24008100004806,343.27463813951476
bump_5,316.75070880372175,326.1492970473903,343.0246094703115
dram_5,316.7310239006808,326.0585130947326,342.77483817321234
bump_6,316.7090960042288,325.95424440549186,342.4642542337869
dram_6,316.68715603432105,325.8499757162511,342.1539206494109
bump_7,316.6629945660609,325.7322222904274,341.7812182217929
dram_7,316.63882114430595,325.6144688646036,341.40875624849116
bump_8,316.6124490876576,325.4832307021969,340.9718204918968
dram_8,316.5860652045302,325.3519925397902,340.5351122648008
bump_9,316.5575067903805,325.2072696408005,340.0312558470457
dram_9,316.5289366831163,325.0625467418108,339.5276109356076
bump_10,316.4982172557483,324.9043391062382,338.95356723484474
dram_10,316.4674862742452,324.74613147066555,338.37971593976715
bump_11,316.4346321528221,324.57443909850986,337.73165354541317
dram_11,316.40176662110355,324.40274672635417,337.08376154057936
tim,316.26417787506284,323.6739974702616,334.2249494045063
lid,316.11522164811333,322.8872483096177,331.1426894562424
