layer,min_K,mean_K,max_K
substrate,299.9999999999824,300.0050318499293,300.1167538061504
interposer,299.9999999999995,300.0694471415638,301.4983595884735
logic_die,299.99999999999943,300.069225020015,301.4950226432854
bump_0,299.99999999999903,300.0675513353274,301.4646661980428
dram_0,299.9999999999987,300.0660197550665,301.42426017593175
bump_1,299.9999999999985,300.0644165301567,301.379249321598
dram_1,299.9999999999984,300.06284456473327,301.3208949680343
bump_2,299.9999999999981,300.06147633072896,301.2599823453747
dram_2,299.9999999999981,300.06029016447303,301.1875802381653
bump_3,299.9999999999982,300.0596247032221,301.11537686381564
dram_3,299.9999999999989,300.0593048571756,301.0342341048032
bump_4,299.9999999999991,300.0598254024943,300.9564463622555
dram_4,299.99999999999926,300.0608362668542,301.0655881038382
bump_5,299.9999999999992,300.0629137685011,301.404337770925
dram_5,299.9999999999991,300.0655212535539,301.7497932284152
bump_6,299.99999999999886,300.06903401611015,302.2674462830655
dram_6,299.99999999999847,300.0726994288463,302.74692443585326
bump_7,299.99999999999784,300.0755431475878,303.3655870021476
dram_7,299.9999999999971,300.076385421836,303.7015754798416
tim,299.9999999999978,300.0425431977359,302.38625675942154
lid,299.99999999999886,300.0045773832627,300.11642183977295
