layer,min_K,mean_K,max_K
substrate,303.7959072587321,304.92469686521457,314.7943541698248
interposer,303.96648406937055,305.146781752694,315.8165320905552
logic_die,303.96688758814844,305.1477288097834,316.0565774708976
bump_0,303.9474513062112,305.13041768939615,317.29170694377996
dram_0,303.9307617481243,305.11555401586685,318.3539473006223
bump_1,303.9138544325676,305.08046323746305,317.26582288850693
dram_1,303.8969459400646,305.0453724590592,316.17960017758736
bump_2,303.8798199966884,305.01028168065534,315.35818140981786
dram_2,303.86269287819897,304.9751909022515,314.53793143912014
bump_3,303.8453486800209,304.9401001238477,313.8852304087422
dram_3,303.82800330891007,304.9050093454438,313.2332825673734
bump_4,303.8104412932387,304.8699185670399,312.6923830823757
dram_4,303.7928781071591,304.83482778863595,312.1519916667068
bump_5,303.7750987748749,304.79973701023204,311.68847162160705
dram_5,303.7573182750468,304.76464623182807,311.225309041371
bump_6,303.73932218982014,304.72955545342415,310.8174846480242
dram_6,303.7213249402495,304.6944646750202,310.40992142078375
bump_7,303.703112727701,304.6593738966162,310.0436096334716
dram_7,303.68489935433917,304.62428311821225,309.6774953108485
tim,303.612378843339,304.48618625066854,308.36173815497494
lid,303.5340430786547,304.3370984900716,306.94518171975676
