layer,min_K,mean_K,max_K
substrate,308.7464648170286,308.746464817034,308.7464648170402
interposer,309.1408967400275,309.140896740033,309.1408967400396
logic_die,309.1425787524923,309.1425787524977,309.1425787525044
bump_0,309.1074368625179,309.1074368625237,309.1074368625306
dram_0,309.0772633342832,309.077263334289,309.07726333429605
bump_1,309.04287582586625,309.04287582587204,309.04287582587926
dram_1,309.0084883174497,309.0084883174551,309.0084883174624
bump_2,308.9698868288506,308.96988682885603,308.96988682886325
dram_2,308.9312853402516,308.9312853402569,308.9312853402642
bump_3,308.88846987147036,308.88846987147565,308.8884698714828
dram_3,308.84565440268904,308.8456544026943,308.84565440270137
bump_4,308.79862495372566,308.7986249537307,308.7986249537378
dram_4,308.75159550476246,308.75159550476724,308.7515955047741
bump_5,308.70035207561716,308.7003520756215,308.7003520756283
dram_5,308.6491086464717,308.6491086464757,308.6491086464825
bump_6,308.59365123714406,308.5936512371478,308.5936512371545
dram_6,308.5381938278165,308.5381938278199,308.53819382782626
bump_7,308.4785224383066,308.4785224383098,308.47852243831596
dram_7,308.41885104879657,308.41885104879964,308.4188510488056
tim,308.1674354394079,308.1674354394104,308.16743543941493
lid,307.8960100924788,307.8960100924806,307.8960100924836
