stack,die,channel,bank,block,mean_K,max_K
0,logic_die,-1,-1,logic_die,309.40029302838525,321.62596609204695
0,dram_0,0,0,bank_array_pim_region,321.6688470749257,322.58181130666975
0,dram_0,0,1,bank_array_pim_region,319.5603564730069,320.49060247625334
0,dram_0,0,2,bank_array_pim_region,318.7432608540478,319.6611027304394
0,dram_0,0,3,bank_array_pim_region,318.15059080466153,319.03900824650793
0,dram_0,0,4,bank_array_pim_region,310.9197300396986,313.8582095494504
0,dram_0,0,5,bank_array_pim_region,310.8754630630061,313.73858915206216
0,dram_0,0,6,bank_array_pim_region,310.80799013156627,313.57757428059216
0,dram_0,0,7,bank_array_pim_region,310.72226539792086,313.38836971350213
0,dram_0,0,8,bank_array_pim_region,307.4985150122602,308.1029630658188
0,dram_0,0,9,bank_array_pim_region,307.5001750450953,308.1007267491396
0,dram_0,0,10,bank_array_pim_region,307.50369435299854,308.0964458067409
0,dram_0,0,11,bank_array_pim_region,307.5094765184603,308.0904983576271
0,dram_0,0,12,bank_array_pim_region,306.6163552131992,306.7933274492016
0,dram_0,0,13,bank_array_pim_region,306.62059910698855,306.79802679672025
0,dram_0,0,14,bank_array_pim_region,306.6291647164978,306.80757929636394
0,dram_0,0,15,bank_array_pim_region,306.6422095410614,306.8223001124867
0,dram_0,1,0,bank_array_pim_region,317.62794194091,318.4794675838947
0,dram_0,1,1,bank_array_pim_region,317.133482536826,317.9455381294084
0,dram_0,1,2,bank_array_pim_region,316.6442843215055,317.4161444661222
0,dram_0,1,3,bank_array_pim_region,316.1415267947176,316.87239708274984
0,dram_0,1,4,bank_array_pim_region,310.62149718857324,313.1776994962921
0,dram_0,1,5,bank_array_pim_region,310.5076254047431,312.94811949943676
0,dram_0,1,6,bank_array_pim_region,310.3816602461781,312.6993082397744
0,dram_0,1,7,bank_array_pim_region,310.24405501876186,312.42924878428016
0,dram_0,1,8,bank_array_pim_region,307.51814101090383,308.08344100412353
0,dram_0,1,9,bank_array_pim_region,307.53054329927056,308.07600101617913
