parameter,setting,value,peak_K
combined,nominal,,309.142578752469
combined,best,,302.87091670100284
combined,worst,,344.13652801613455
tim_k,sweep,1,310.53112316334494
tim_k,sweep,4,309.142578752469
tim_k,sweep,8,308.9088610488893
top_h,sweep,1000,334.4383094218053
top_h,sweep,5000,309.142578752469
top_h,sweep,15000,304.00880494193615
silicon_k,sweep,100,309.15906801796365
silicon_k,sweep,130,309.142578752469
silicon_k,sweep,150,309.1350834150061
tsv_fill,sweep,0.005,309.144181282367
tsv_fill,sweep,0.02,309.142578752469
tsv_fill,sweep,0.08,309.1370245389484
die_um,sweep,25,309.13120835603974
die_um,sweep,32,309.142578752469
die_um,sweep,50,309.17180714731074
tim_um,sweep,20,308.8620380673753
tim_um,sweep,50,309.142578752469
tim_um,sweep,100,309.6080370996901
power_scale,sweep,0.8,307.31406300197034
power_scale,sweep,1,309.142578752469
power_scale,sweep,1.2,310.97109450296796
