OpenROAD 26Q3-1080-gab6fd26351 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ORD-0030] Using 16 thread(s).
read_liberty /home/forstobpim/OpenROAD-flow-scripts/flow/platforms/sky130hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib
read_db ./results/sky130hd/normalization_hbm_wbq/base/3_3_place_gp.odb
Took 17 seconds: read_db ./results/sky130hd/normalization_hbm_wbq/base/3_3_place_gp.odb
read_sdc ./results/sky130hd/normalization_hbm_wbq/base/2_floorplan.sdc
source /home/forstobpim/OpenROAD-flow-scripts/flow/platforms/sky130hd/setRC.tcl
estimate_parasitics -placement
Took 925 seconds: estimate_parasitics -placement
Perform buffer insertion and gate resizing...
repair_design -verbose -match_cell_footprint
Iteration |   Area    | Resized | Buffers | Nets repaired | Remaining
---------------------------------------------------------------------
        0 |     +0.0% |       0 |       0 |             0 |   4063775
     1000 |     +0.0% |       0 |       0 |             0 |   4062775
     2000 |     +0.0% |       0 |       0 |             0 |   4061775
     3000 |     +0.0% |       0 |       0 |             0 |   4060775
     4000 |     +0.0% |       0 |       0 |             0 |   4059775
     5000 |     +0.0% |       0 |       0 |             0 |   4058775
     6000 |     +0.0% |       0 |       0 |             0 |   4057775
     7000 |     +0.0% |       0 |       0 |             0 |   4056775
     8000 |     +0.0% |       4 |       4 |             4 |   4055775
     9000 |     +0.0% |      16 |       6 |            17 |   4054775
    10000 |     +0.0% |      16 |       6 |            17 |   4053775
    11000 |     +0.0% |      17 |       7 |            18 |   4052775
    12000 |     +0.0% |      47 |      35 |            48 |   4051775
    13000 |     +0.0% |      47 |      35 |            48 |   4050775
    14000 |     +0.0% |      52 |      40 |            53 |   4049775
    15000 |     +0.0% |      53 |      42 |            55 |   4048775
    16000 |     +0.0% |      56 |      45 |            58 |   4047775
    17000 |     +0.0% |     102 |      81 |           105 |   4046775
    18000 |     +0.0% |     252 |     194 |           257 |   4045775
    19000 |     +0.0% |     318 |     241 |           323 |   4044775
    20000 |     +0.0% |     318 |     241 |           323 |   4043775
    21000 |     +0.0% |     318 |     241 |           323 |   4042775
    22000 |     +0.0% |     318 |     241 |           323 |   4041775
    23000 |     +0.0% |     318 |     241 |           323 |   4040775
    24000 |     +0.0% |     318 |     241 |           323 |   4039775
