net	status	elapsed_seconds	log
clk_i	timeout	181	/home/forstobpim/PIM_simulator/reports/groot_normalization/physical_feasibility/wbq_pd_net_diagnostics/clk_i.log
rst_ni	timeout	180	/home/forstobpim/PIM_simulator/reports/groot_normalization/physical_feasibility/wbq_pd_net_diagnostics/rst_ni.log
u_adapter/_14518_	pass	18	/home/forstobpim/PIM_simulator/reports/groot_normalization/physical_feasibility/wbq_pd_net_diagnostics/u_adapter___14518_.log
u_adapter/_14521_	pass	17	/home/forstobpim/PIM_simulator/reports/groot_normalization/physical_feasibility/wbq_pd_net_diagnostics/u_adapter___14521_.log
u_writeback_slice/capture	pass	17	/home/forstobpim/PIM_simulator/reports/groot_normalization/physical_feasibility/wbq_pd_net_diagnostics/u_writeback_slice__capture.log
reduction_valid[0]	pass	17	/home/forstobpim/PIM_simulator/reports/groot_normalization/physical_feasibility/wbq_pd_net_diagnostics/reduction_valid_0_.log
replay_valid[0]	pass	18	/home/forstobpim/PIM_simulator/reports/groot_normalization/physical_feasibility/wbq_pd_net_diagnostics/replay_valid_0_.log
u_adapter/state_q[2]	pass	17	/home/forstobpim/PIM_simulator/reports/groot_normalization/physical_feasibility/wbq_pd_net_diagnostics/u_adapter__state_q_2_.log
u_adapter/_15000_	pass	17	/home/forstobpim/PIM_simulator/reports/groot_normalization/physical_feasibility/wbq_pd_net_diagnostics/u_adapter___15000_.log
u_adapter/_14515_	pass	17	/home/forstobpim/PIM_simulator/reports/groot_normalization/physical_feasibility/wbq_pd_net_diagnostics/u_adapter___14515_.log
u_adapter/_15001_	pass	18	/home/forstobpim/PIM_simulator/reports/groot_normalization/physical_feasibility/wbq_pd_net_diagnostics/u_adapter___15001_.log
u_adapter/_20968_	pass	17	/home/forstobpim/PIM_simulator/reports/groot_normalization/physical_feasibility/wbq_pd_net_diagnostics/u_adapter___20968_.log
u_adapter/_20969_	pass	17	/home/forstobpim/PIM_simulator/reports/groot_normalization/physical_feasibility/wbq_pd_net_diagnostics/u_adapter___20969_.log
