profile_id,shape,invocations,architecture,projected_latency_us,traffic_total_bytes,speedup_vs_profile_gpu
action_vlln,1x280x2048,1,GPU,9.828351974487305,2301952,1.0
action_vlln,1x280x2048,1,Bank-only PIM,575.755,3484672,0.017070371902089092
action_vlln,1x280x2048,1,Logic-only PIM,299.284,4603904,0.032839550308360305
action_vlln,1x280x2048,1,Hierarchical PIM,561.655,3484672,0.01749891298837775
action_vl_self_attention_norm1,1x280x2048,4,GPU,40.411136627197266,9207808,1.0
action_vl_self_attention_norm1,1x280x2048,4,Bank-only PIM,2303.02,13938688,0.01754701940373825
action_vl_self_attention_norm1,1x280x2048,4,Logic-only PIM,1197.136,18415616,0.033756512733053946
action_vl_self_attention_norm1,1x280x2048,4,Hierarchical PIM,2246.62,13938688,0.017987526429568537
action_vl_self_attention_norm3,1x280x2048,4,GPU,42.01728057861328,9207808,1.0
action_vl_self_attention_norm3,1x280x2048,4,Bank-only PIM,2303.02,13938688,0.018244427134203472
action_vl_self_attention_norm3,1x280x2048,4,Logic-only PIM,1197.136,18415616,0.03509816811006709
action_vl_self_attention_norm3,1x280x2048,4,Hierarchical PIM,2246.62,13938688,0.018702442148032725
action_dit_adaln_norm1,1x41x1536,128,GPU,1175.531494140625,32243712,1.0
action_dit_adaln_norm1,1x41x1536,128,Bank-only PIM,9306.368,49037312,0.12631474428484077
action_dit_adaln_norm1,1x41x1536,128,Logic-only PIM,4261.504,64487424,0.27584897119435414
action_dit_adaln_norm1,1x41x1536,128,Hierarchical PIM,7960.448,49037312,0.1476715247861207
action_dit_norm3,1x41x1536,128,GPU,1794.9285888671875,32243712,1.0
action_dit_norm3,1x41x1536,128,Bank-only PIM,9306.368,49037312,0.19287100927743106
action_dit_norm3,1x41x1536,128,Logic-only PIM,4261.504,64487424,0.4211960352183613
action_dit_norm3,1x41x1536,128,Hierarchical PIM,7960.448,49037312,0.22548085093542317
action_dit_norm_out,1x41x1536,4,GPU,58.49087905883789,1007616,1.0
action_dit_norm_out,1x41x1536,4,Bank-only PIM,290.824,1532416,0.2011212247229867
action_dit_norm_out,1x41x1536,4,Logic-only PIM,133.172,2015232,0.43921304072055606
action_dit_norm_out,1x41x1536,4,Hierarchical PIM,248.764,1532416,0.23512597907590282
