model,model_revision,isaac_groot_revision,batch,rows,rows_expression,representative_rows,hidden_size,epsilon,elementwise_affine,dynamic_modulation,invocations_per_policy_call,invocation_expression,dtype,read_bytes_per_invocation,write_bytes_per_invocation,affine_bytes,shape_status,invocation_status,activation_status,evidence,profile_id,module_path,norm_type
nvidia/GR00T-N1.7-3B,2fc962b973bccdd5d8ce4f67cc63b264d6886495,b9955401d50c92a29258732e3ad6ccd579f1bdc0,1,dynamic,B*S,280,2048,checkpoint subconfig unavailable; expected 1e-6,True,False,16,language_layers,BF16,1146880,1146880,,LEGACY_280_REPRESENTATIVE_RUNTIME_UNVERIFIED,CODE_AND_CHECKPOINT_DERIVED,NOT_CAPTURED,pinned official source + checkpoint metadata,backbone_language_input_rmsnorm,backbone.model.model.language_model.layers.*.input_layernorm,RMSNorm
nvidia/GR00T-N1.7-3B,2fc962b973bccdd5d8ce4f67cc63b264d6886495,b9955401d50c92a29258732e3ad6ccd579f1bdc0,1,dynamic,B*S,280,2048,checkpoint subconfig unavailable; expected 1e-6,True,False,16,language_layers,BF16,1146880,1146880,,LEGACY_280_REPRESENTATIVE_RUNTIME_UNVERIFIED,CODE_AND_CHECKPOINT_DERIVED,NOT_CAPTURED,pinned official source + checkpoint metadata,backbone_language_post_attention_rmsnorm,backbone.model.model.language_model.layers.*.post_attention_layernorm,RMSNorm
nvidia/GR00T-N1.7-3B,2fc962b973bccdd5d8ce4f67cc63b264d6886495,b9955401d50c92a29258732e3ad6ccd579f1bdc0,1,dynamic,B*S*query_heads,4480,128,checkpoint subconfig unavailable; expected 1e-6,True,False,16,language_layers,BF16,1146880,1146880,,CHECKPOINT_HEAD_COUNT_WITH_LEGACY_S280_RUNTIME_UNVERIFIED,CODE_AND_CHECKPOINT_DERIVED,NOT_CAPTURED,pinned official source + checkpoint metadata,backbone_language_q_rmsnorm,backbone.model.model.language_model.layers.*.self_attn.q_norm,RMSNorm
nvidia/GR00T-N1.7-3B,2fc962b973bccdd5d8ce4f67cc63b264d6886495,b9955401d50c92a29258732e3ad6ccd579f1bdc0,1,dynamic,B*S*key_value_heads,2240,128,checkpoint subconfig unavailable; expected 1e-6,True,False,16,language_layers,BF16,573440,573440,,CHECKPOINT_HEAD_COUNT_WITH_LEGACY_S280_RUNTIME_UNVERIFIED,CODE_AND_CHECKPOINT_DERIVED,NOT_CAPTURED,pinned official source + checkpoint metadata,backbone_language_k_rmsnorm,backbone.model.model.language_model.layers.*.self_attn.k_norm,RMSNorm
nvidia/GR00T-N1.7-3B,2fc962b973bccdd5d8ce4f67cc63b264d6886495,b9955401d50c92a29258732e3ad6ccd579f1bdc0,1,dynamic,B*S,280,2048,checkpoint subconfig unavailable; expected 1e-6,True,False,1,1,BF16,1146880,1146880,,LEGACY_280_REPRESENTATIVE_RUNTIME_UNVERIFIED,CODE_AND_CHECKPOINT_DERIVED,NOT_CAPTURED,pinned official source + checkpoint metadata,backbone_language_final_rmsnorm,backbone.model.model.language_model.norm,RMSNorm
nvidia/GR00T-N1.7-3B,2fc962b973bccdd5d8ce4f67cc63b264d6886495,b9955401d50c92a29258732e3ad6ccd579f1bdc0,1,dynamic,B*vision_tokens,,1024,RUNTIME_MODULE_INTROSPECTION_REQUIRED,True,False,24,vision_blocks,BF16,dynamic,dynamic,,RUNTIME_TRACE_REQUIRED,CODE_AND_CHECKPOINT_DERIVED,NOT_CAPTURED,pinned official source + checkpoint metadata,backbone_visual_block_norm1,backbone.model.model.visual.blocks.*.norm1,LayerNorm
nvidia/GR00T-N1.7-3B,2fc962b973bccdd5d8ce4f67cc63b264d6886495,b9955401d50c92a29258732e3ad6ccd579f1bdc0,1,dynamic,B*vision_tokens,,1024,RUNTIME_MODULE_INTROSPECTION_REQUIRED,True,False,24,vision_blocks,BF16,dynamic,dynamic,,RUNTIME_TRACE_REQUIRED,CODE_AND_CHECKPOINT_DERIVED,NOT_CAPTURED,pinned official source + checkpoint metadata,backbone_visual_block_norm2,backbone.model.model.visual.blocks.*.norm2,LayerNorm
nvidia/GR00T-N1.7-3B,2fc962b973bccdd5d8ce4f67cc63b264d6886495,b9955401d50c92a29258732e3ad6ccd579f1bdc0,1,dynamic,B*S,280,2048,1e-05,True,False,1,1,BF16,1146880,1146880,8192,LEGACY_280_REPRESENTATIVE_RUNTIME_UNVERIFIED,CODE_AND_CHECKPOINT_DERIVED,NOT_CAPTURED,pinned official source + checkpoint metadata,action_vlln,action_head.vlln,LayerNorm
nvidia/GR00T-N1.7-3B,2fc962b973bccdd5d8ce4f67cc63b264d6886495,b9955401d50c92a29258732e3ad6ccd579f1bdc0,1,dynamic,B*S,280,2048,1e-05,True,False,4,vl_self_attention_layers,BF16,1146880,1146880,8192,LEGACY_280_REPRESENTATIVE_RUNTIME_UNVERIFIED,CODE_AND_CHECKPOINT_DERIVED,NOT_CAPTURED,pinned official source + checkpoint metadata,action_vl_self_attention_norm1,action_head.vl_self_attention.transformer_blocks.*.norm1,LayerNorm
nvidia/GR00T-N1.7-3B,2fc962b973bccdd5d8ce4f67cc63b264d6886495,b9955401d50c92a29258732e3ad6ccd579f1bdc0,1,dynamic,B*S,280,2048,1e-05,True,False,4,vl_self_attention_layers,BF16,1146880,1146880,8192,LEGACY_280_REPRESENTATIVE_RUNTIME_UNVERIFIED,CODE_AND_CHECKPOINT_DERIVED,NOT_CAPTURED,pinned official source + checkpoint metadata,action_vl_self_attention_norm3,action_head.vl_self_attention.transformer_blocks.*.norm3,LayerNorm
