profile_id,subsystem,module_path,norm_type,shape,rows_per_invocation,hidden_size,invocations_per_policy_call,weighted_rows,elements_per_invocation,weighted_elements,dtype,epsilon,elementwise_affine,affine_operands_per_element,dynamic_modulation,shape_evidence,call_count_evidence,activation_evidence,inventory_status
action_dit_adaln_norm1,action_head,action_head.model.transformer_blocks.*.norm1.norm,AdaLayerNorm,1x41x1536,41,1536,128,5248,62976,8060928,BFLOAT16,1e-05,False,0,True,MEASURED_PRETRAINED_ACTION_HEAD_RUNTIME,MEASURED_HOOK_COUNT,PRETRAINED_ACTION_HEAD_SYNTHETIC_BOUNDARY_INPUT,RUNTIME_CONFIRMED
action_dit_norm3,action_head,action_head.model.transformer_blocks.*.norm3,LayerNorm,1x41x1536,41,1536,128,5248,62976,8060928,BFLOAT16,1e-05,False,0,False,MEASURED_PRETRAINED_ACTION_HEAD_RUNTIME,MEASURED_HOOK_COUNT,PRETRAINED_ACTION_HEAD_SYNTHETIC_BOUNDARY_INPUT,RUNTIME_CONFIRMED
action_dit_norm_out,action_head,action_head.model.norm_out,LayerNorm,1x41x1536,41,1536,4,164,62976,251904,BFLOAT16,1e-06,False,0,False,MEASURED_PRETRAINED_ACTION_HEAD_RUNTIME,MEASURED_HOOK_COUNT,PRETRAINED_ACTION_HEAD_SYNTHETIC_BOUNDARY_INPUT,RUNTIME_CONFIRMED
action_vl_self_attention_norm1,action_head,action_head.vl_self_attention.transformer_blocks.*.norm1,LayerNorm,1x280x2048,280,2048,4,1120,573440,2293760,BFLOAT16,1e-05,True,2,False,MEASURED_PRETRAINED_ACTION_HEAD_RUNTIME,MEASURED_HOOK_COUNT,PRETRAINED_ACTION_HEAD_SYNTHETIC_BOUNDARY_INPUT,RUNTIME_CONFIRMED
action_vl_self_attention_norm3,action_head,action_head.vl_self_attention.transformer_blocks.*.norm3,LayerNorm,1x280x2048,280,2048,4,1120,573440,2293760,BFLOAT16,1e-05,True,2,False,MEASURED_PRETRAINED_ACTION_HEAD_RUNTIME,MEASURED_HOOK_COUNT,PRETRAINED_ACTION_HEAD_SYNTHETIC_BOUNDARY_INPUT,RUNTIME_CONFIRMED
action_vlln,action_head,action_head.vlln,LayerNorm,1x280x2048,280,2048,1,280,573440,573440,BFLOAT16,1e-05,True,2,False,MEASURED_PRETRAINED_ACTION_HEAD_RUNTIME,MEASURED_HOOK_COUNT,PRETRAINED_ACTION_HEAD_SYNTHETIC_BOUNDARY_INPUT,RUNTIME_CONFIRMED
backbone_language_final_rmsnorm,language_backbone,backbone.model.model.language_model.norm,RMSNorm,1x280x2048,280,2048,1,280,573440,573440,BF16,checkpoint subconfig unavailable; expected 1e-6,True,1,False,CHECKPOINT_CODE_DERIVED_WITH_REPRESENTATIVE_ROWS,PINNED_CODE_AND_CHECKPOINT_DERIVED,NOT_CAPTURED,REPRESENTATIVE_COMPLETE
backbone_language_input_rmsnorm,language_backbone,backbone.model.model.language_model.layers.*.input_layernorm,RMSNorm,1x280x2048,280,2048,16,4480,573440,9175040,BF16,checkpoint subconfig unavailable; expected 1e-6,True,1,False,CHECKPOINT_CODE_DERIVED_WITH_REPRESENTATIVE_ROWS,PINNED_CODE_AND_CHECKPOINT_DERIVED,NOT_CAPTURED,REPRESENTATIVE_COMPLETE
backbone_language_k_rmsnorm,language_backbone,backbone.model.model.language_model.layers.*.self_attn.k_norm,RMSNorm,1x2240x128,2240,128,16,35840,286720,4587520,BF16,checkpoint subconfig unavailable; expected 1e-6,True,1,False,CHECKPOINT_CODE_DERIVED_WITH_REPRESENTATIVE_ROWS,PINNED_CODE_AND_CHECKPOINT_DERIVED,NOT_CAPTURED,REPRESENTATIVE_COMPLETE
backbone_language_post_attention_rmsnorm,language_backbone,backbone.model.model.language_model.layers.*.post_attention_layernorm,RMSNorm,1x280x2048,280,2048,16,4480,573440,9175040,BF16,checkpoint subconfig unavailable; expected 1e-6,True,1,False,CHECKPOINT_CODE_DERIVED_WITH_REPRESENTATIVE_ROWS,PINNED_CODE_AND_CHECKPOINT_DERIVED,NOT_CAPTURED,REPRESENTATIVE_COMPLETE
backbone_language_q_rmsnorm,language_backbone,backbone.model.model.language_model.layers.*.self_attn.q_norm,RMSNorm,1x4480x128,4480,128,16,71680,573440,9175040,BF16,checkpoint subconfig unavailable; expected 1e-6,True,1,False,CHECKPOINT_CODE_DERIVED_WITH_REPRESENTATIVE_ROWS,PINNED_CODE_AND_CHECKPOINT_DERIVED,NOT_CAPTURED,REPRESENTATIVE_COMPLETE
backbone_visual_block_norm1,vision_backbone,backbone.model.model.visual.blocks.*.norm1,LayerNorm,1xDYNAMICx1024,,1024,24,,,,BF16,RUNTIME_MODULE_INTROSPECTION_REQUIRED,True,2,False,RUNTIME_ROWS_REQUIRED,PINNED_CODE_AND_CHECKPOINT_DERIVED,NOT_CAPTURED,STATIC_COMPLETE_RUNTIME_ROWS_OPEN
backbone_visual_block_norm2,vision_backbone,backbone.model.model.visual.blocks.*.norm2,LayerNorm,1xDYNAMICx1024,,1024,24,,,,BF16,RUNTIME_MODULE_INTROSPECTION_REQUIRED,True,2,False,RUNTIME_ROWS_REQUIRED,PINNED_CODE_AND_CHECKPOINT_DERIVED,NOT_CAPTURED,STATIC_COMPLETE_RUNTIME_ROWS_OPEN
