scenario,visual_rows_per_invocation,lanes,included_profile_families,included_invocations,weighted_elements,measured_action_rtl_cycles,modeled_backbone_cycles,hybrid_total_cycles,elements_per_cycle,relative_cost_units,speedup_vs_lane4,incremental_cycle_reduction_vs_previous,evidence
known_profiles_no_vision,,4,11,334,54220800,412945,1484153,1897098,28.580916747579725,848.75,1.0,0.0,ACTION_RTL_MEASURED_PLUS_BACKBONE_EVENT_MODEL_32_TO_64_ROW_STEADY_STATE_PROJECTION
known_profiles_no_vision,,8,11,334,54220800,263048,1335820,1598868,33.911992734859915,1504.75,1.1865257169447383,0.15720326519768615,ACTION_RTL_MEASURED_PLUS_BACKBONE_EVENT_MODEL_32_TO_64_ROW_STEADY_STATE_PROJECTION
known_profiles_no_vision,,16,11,334,54220800,241282,1289155,1530437,35.42831230557024,2816.75,1.2395792835641062,0.04279965575644769,ACTION_RTL_MEASURED_PLUS_BACKBONE_EVENT_MODEL_32_TO_64_ROW_STEADY_STATE_PROJECTION
vision_rows_256,256,4,13,382,66803712,412945,1686569,2099514,31.818655174483236,848.75,1.0,0.0,ACTION_RTL_MEASURED_PLUS_BACKBONE_EVENT_MODEL_32_TO_64_ROW_STEADY_STATE_PROJECTION
vision_rows_256,256,8,13,382,66803712,263048,1524364,1787412,37.37454599163483,1504.75,1.1746111137219624,0.1486544028760942,ACTION_RTL_MEASURED_PLUS_BACKBONE_EVENT_MODEL_32_TO_64_ROW_STEADY_STATE_PROJECTION
vision_rows_256,256,16,13,382,66803712,241282,1476883,1718165,38.88084788131524,2816.75,1.2219513259785877,0.03874148769282068,ACTION_RTL_MEASURED_PLUS_BACKBONE_EVENT_MODEL_32_TO_64_ROW_STEADY_STATE_PROJECTION
vision_rows_1024,1024,4,13,382,104552448,412945,2276393,2689338,38.87664845400615,848.75,1.0,0.0,ACTION_RTL_MEASURED_PLUS_BACKBONE_EVENT_MODEL_32_TO_64_ROW_STEADY_STATE_PROJECTION
vision_rows_1024,1024,8,13,382,104552448,263048,2077324,2340372,44.673431403212824,1504.75,1.1491070650306874,0.12975907081965896,ACTION_RTL_MEASURED_PLUS_BACKBONE_EVENT_MODEL_32_TO_64_ROW_STEADY_STATE_PROJECTION
vision_rows_1024,1024,16,13,382,104552448,241282,2029843,2271125,46.03553217017998,2816.75,1.1841435411965435,0.029588031304425107,ACTION_RTL_MEASURED_PLUS_BACKBONE_EVENT_MODEL_32_TO_64_ROW_STEADY_STATE_PROJECTION
vision_rows_4096,4096,4,13,382,255547392,412945,4635689,5048634,50.61713564500813,848.75,1.0,0.0,ACTION_RTL_MEASURED_PLUS_BACKBONE_EVENT_MODEL_32_TO_64_ROW_STEADY_STATE_PROJECTION
vision_rows_4096,4096,8,13,382,255547392,263048,4289164,4552212,56.13697077376889,1504.75,1.1090507208363758,0.09832798337134362,ACTION_RTL_MEASURED_PLUS_BACKBONE_EVENT_MODEL_32_TO_64_ROW_STEADY_STATE_PROJECTION
vision_rows_4096,4096,16,13,382,255547392,241282,4241683,4482965,57.004101526556646,2816.75,1.1261818907798744,0.015211725640194261,ACTION_RTL_MEASURED_PLUS_BACKBONE_EVENT_MODEL_32_TO_64_ROW_STEADY_STATE_PROJECTION
