profile_id,shape,invocations,lanes,bank_port_mode,cycles,reduction_read_vectors,replay_read_vectors,writeback_vectors,read_port_stall_cycles,write_port_stall_cycles,scalar_queue_stall_cycles,maximum_live_rows,weighted_cycles
action_vlln,1x280x2048,1,4,single_shared,26885,8960,8960,8960,8953,0,0,16,26885
action_vlln,1x280x2048,1,4,split_rw,17932,8960,8960,8960,0,8846,0,16,17932
action_vlln,1x280x2048,1,4,independent_pcu_ports,9097,8960,8960,8960,0,0,0,16,9097
action_vl_self_attention_norm1,1x280x2048,4,4,single_shared,26885,8960,8960,8960,8953,0,0,16,107540
action_vl_self_attention_norm1,1x280x2048,4,4,split_rw,17932,8960,8960,8960,0,8846,0,16,71728
action_vl_self_attention_norm1,1x280x2048,4,4,independent_pcu_ports,9097,8960,8960,8960,0,0,0,16,36388
action_vl_self_attention_norm3,1x280x2048,4,4,single_shared,26885,8960,8960,8960,8953,0,0,16,107540
action_vl_self_attention_norm3,1x280x2048,4,4,split_rw,17932,8960,8960,8960,0,8846,0,16,71728
action_vl_self_attention_norm3,1x280x2048,4,4,independent_pcu_ports,9097,8960,8960,8960,0,0,0,16,36388
action_dit_adaln_norm1,1x41x1536,128,4,single_shared,2956,984,984,984,976,0,0,16,378368
action_dit_adaln_norm1,1x41x1536,128,4,split_rw,1980,984,984,984,0,878,0,16,253440
action_dit_adaln_norm1,1x41x1536,128,4,independent_pcu_ports,1113,984,984,984,0,0,0,16,142464
action_dit_norm3,1x41x1536,128,4,single_shared,2956,984,984,984,976,0,0,16,378368
action_dit_norm3,1x41x1536,128,4,split_rw,1980,984,984,984,0,878,0,16,253440
action_dit_norm3,1x41x1536,128,4,independent_pcu_ports,1113,984,984,984,0,0,0,16,142464
action_dit_norm_out,1x41x1536,4,4,single_shared,2956,984,984,984,976,0,0,16,11824
action_dit_norm_out,1x41x1536,4,4,split_rw,1980,984,984,984,0,878,0,16,7920
action_dit_norm_out,1x41x1536,4,4,independent_pcu_ports,1113,984,984,984,0,0,0,16,4452
action_vlln,1x280x2048,1,8,single_shared,13446,4480,4480,4480,4474,0,0,16,13446
action_vlln,1x280x2048,1,8,split_rw,8972,4480,4480,4480,0,4379,0,16,8972
action_vlln,1x280x2048,1,8,independent_pcu_ports,4604,4480,4480,4480,0,0,0,16,4604
action_vl_self_attention_norm1,1x280x2048,4,8,single_shared,13446,4480,4480,4480,4474,0,0,16,53784
action_vl_self_attention_norm1,1x280x2048,4,8,split_rw,8972,4480,4480,4480,0,4379,0,16,35888
action_vl_self_attention_norm1,1x280x2048,4,8,independent_pcu_ports,4604,4480,4480,4480,0,0,0,16,18416
action_vl_self_attention_norm3,1x280x2048,4,8,single_shared,13446,4480,4480,4480,4474,0,0,16,53784
action_vl_self_attention_norm3,1x280x2048,4,8,split_rw,8972,4480,4480,4480,0,4379,0,16,35888
action_vl_self_attention_norm3,1x280x2048,4,8,independent_pcu_ports,4604,4480,4480,4480,0,0,0,16,18416
action_dit_adaln_norm1,1x41x1536,128,8,single_shared,1483,492,492,492,487,0,78,16,189824
action_dit_adaln_norm1,1x41x1536,128,8,split_rw,996,492,492,492,0,395,86,16,127488
action_dit_adaln_norm1,1x41x1536,128,8,independent_pcu_ports,732,492,492,492,0,0,2268,16,93696
action_dit_norm3,1x41x1536,128,8,single_shared,1483,492,492,492,487,0,78,16,189824
action_dit_norm3,1x41x1536,128,8,split_rw,996,492,492,492,0,395,86,16,127488
action_dit_norm3,1x41x1536,128,8,independent_pcu_ports,732,492,492,492,0,0,2268,16,93696
action_dit_norm_out,1x41x1536,4,8,single_shared,1483,492,492,492,487,0,78,16,5932
action_dit_norm_out,1x41x1536,4,8,split_rw,996,492,492,492,0,395,86,16,3984
action_dit_norm_out,1x41x1536,4,8,independent_pcu_ports,732,492,492,492,0,0,2268,16,2928
action_vlln,1x280x2048,1,16,single_shared,6727,2240,2240,2240,2235,0,788,16,6727
action_vlln,1x280x2048,1,16,split_rw,4492,2240,2240,2240,0,2144,3412,16,4492
action_vlln,1x280x2048,1,16,independent_pcu_ports,4291,2240,2240,2240,0,0,30500,16,4291
action_vl_self_attention_norm1,1x280x2048,4,16,single_shared,6727,2240,2240,2240,2235,0,788,16,26908
action_vl_self_attention_norm1,1x280x2048,4,16,split_rw,4492,2240,2240,2240,0,2144,3412,16,17968
action_vl_self_attention_norm1,1x280x2048,4,16,independent_pcu_ports,4291,2240,2240,2240,0,0,30500,16,17164
action_vl_self_attention_norm3,1x280x2048,4,16,single_shared,6727,2240,2240,2240,2235,0,788,16,26908
action_vl_self_attention_norm3,1x280x2048,4,16,split_rw,4492,2240,2240,2240,0,2144,3412,16,17968
