profile_id,lanes,scalar_engines,rows,hidden,elements,mixed_mismatches,pytorch_bit_mismatches,rtl_cycles,max_contexts,external_bytes_per_invocation,bank_internal_bytes_per_invocation,invocations,weighted_cycles,weighted_elements,weighted_external_bytes,weighted_bank_internal_bytes
action_dit_adaln_norm1,4,4,41,1536,62976,0,4,1244,8,32,629760,128,159232,8060928,4096,80609280
action_dit_norm3,4,4,41,1536,62976,0,0,1244,8,32,629760,128,159232,8060928,4096,80609280
action_dit_norm_out,4,4,41,1536,62976,0,4,1244,8,32,629760,4,4976,251904,128,2519040
action_vl_self_attention_norm1,4,4,280,2048,573440,0,7,9945,9,32,5734400,4,39780,2293760,128,22937600
action_vl_self_attention_norm3,4,4,280,2048,573440,0,17,9945,9,32,5734400,4,39780,2293760,128,22937600
action_vlln,4,4,280,2048,573440,0,5,9945,9,32,5734400,1,9945,573440,32,5734400
action_dit_adaln_norm1,8,4,41,1536,62976,0,2,823,9,32,629760,128,105344,8060928,4096,80609280
action_dit_norm3,8,4,41,1536,62976,0,0,823,9,32,629760,128,105344,8060928,4096,80609280
action_dit_norm_out,8,4,41,1536,62976,0,4,823,9,32,629760,4,3292,251904,128,2519040
action_vl_self_attention_norm1,8,4,280,2048,573440,0,8,5452,8,32,5734400,4,21808,2293760,128,22937600
action_vl_self_attention_norm3,8,4,280,2048,573440,0,18,5452,8,32,5734400,4,21808,2293760,128,22937600
action_vlln,8,4,280,2048,573440,0,7,5452,8,32,5734400,1,5452,573440,32,5734400
action_dit_adaln_norm1,16,4,41,1536,62976,0,2,764,9,32,629760,128,97792,8060928,4096,80609280
action_dit_norm3,16,4,41,1536,62976,0,0,764,9,32,629760,128,97792,8060928,4096,80609280
action_dit_norm_out,16,4,41,1536,62976,0,4,764,9,32,629760,4,3056,251904,128,2519040
action_vl_self_attention_norm1,16,4,280,2048,573440,0,7,4738,8,32,5734400,4,18952,2293760,128,22937600
action_vl_self_attention_norm3,16,4,280,2048,573440,0,17,4738,8,32,5734400,4,18952,2293760,128,22937600
action_vlln,16,4,280,2048,573440,0,7,4738,8,32,5734400,1,4738,573440,32,5734400
