profile_id,shape,invocations,lanes,bank_port_mode,cycles,reduction_read_vectors,replay_read_vectors,writeback_vectors,read_port_stall_cycles,write_port_stall_cycles,scalar_queue_stall_cycles,maximum_live_rows,weighted_cycles
action_vlln,1x280x2048,1,4,single_shared,26903,8960,8960,8960,8951,0,0,8,26903
action_vlln,1x280x2048,1,4,split_rw,17961,8960,8960,8960,0,8861,0,8,17961
action_vlln,1x280x2048,1,4,independent_pcu_ports,9669,8960,8960,8960,0,0,0,8,9669
action_vl_self_attention_norm1,1x280x2048,4,4,single_shared,26903,8960,8960,8960,8951,0,0,8,107612
action_vl_self_attention_norm1,1x280x2048,4,4,split_rw,17961,8960,8960,8960,0,8861,0,8,71844
action_vl_self_attention_norm1,1x280x2048,4,4,independent_pcu_ports,9669,8960,8960,8960,0,0,0,8,38676
action_vl_self_attention_norm3,1x280x2048,4,4,single_shared,26903,8960,8960,8960,8951,0,0,8,107612
action_vl_self_attention_norm3,1x280x2048,4,4,split_rw,17961,8960,8960,8960,0,8861,0,8,71844
action_vl_self_attention_norm3,1x280x2048,4,4,independent_pcu_ports,9669,8960,8960,8960,0,0,0,8,38676
action_dit_adaln_norm1,1x41x1536,128,4,single_shared,2970,984,984,984,967,0,0,8,380160
action_dit_adaln_norm1,1x41x1536,128,4,split_rw,2009,984,984,984,0,893,0,8,257152
action_dit_adaln_norm1,1x41x1536,128,4,independent_pcu_ports,1207,984,984,984,0,0,0,8,154496
action_dit_norm3,1x41x1536,128,4,single_shared,2970,984,984,984,967,0,0,8,380160
action_dit_norm3,1x41x1536,128,4,split_rw,2009,984,984,984,0,893,0,8,257152
action_dit_norm3,1x41x1536,128,4,independent_pcu_ports,1207,984,984,984,0,0,0,8,154496
action_dit_norm_out,1x41x1536,4,4,single_shared,2970,984,984,984,967,0,0,8,11880
action_dit_norm_out,1x41x1536,4,4,split_rw,2009,984,984,984,0,893,0,8,8036
action_dit_norm_out,1x41x1536,4,4,independent_pcu_ports,1207,984,984,984,0,0,0,8,4828
action_vlln,1x280x2048,1,8,single_shared,13476,4480,4480,4480,4469,0,0,8,13476
action_vlln,1x280x2048,1,8,split_rw,9007,4480,4480,4480,0,4400,0,8,9007
action_vlln,1x280x2048,1,8,independent_pcu_ports,5176,4480,4480,4480,0,0,0,8,5176
action_vl_self_attention_norm1,1x280x2048,4,8,single_shared,13476,4480,4480,4480,4469,0,0,8,53904
action_vl_self_attention_norm1,1x280x2048,4,8,split_rw,9007,4480,4480,4480,0,4400,0,8,36028
action_vl_self_attention_norm1,1x280x2048,4,8,independent_pcu_ports,5176,4480,4480,4480,0,0,0,8,20704
action_vl_self_attention_norm3,1x280x2048,4,8,single_shared,13476,4480,4480,4480,4469,0,0,8,53904
action_vl_self_attention_norm3,1x280x2048,4,8,split_rw,9007,4480,4480,4480,0,4400,0,8,36028
action_vl_self_attention_norm3,1x280x2048,4,8,independent_pcu_ports,5176,4480,4480,4480,0,0,0,8,20704
action_dit_adaln_norm1,1x41x1536,128,8,single_shared,1519,492,492,492,471,0,0,8,194432
action_dit_adaln_norm1,1x41x1536,128,8,split_rw,1067,492,492,492,0,451,0,8,136576
action_dit_adaln_norm1,1x41x1536,128,8,independent_pcu_ports,821,492,492,492,0,0,0,8,105088
action_dit_norm3,1x41x1536,128,8,single_shared,1519,492,492,492,471,0,0,8,194432
action_dit_norm3,1x41x1536,128,8,split_rw,1067,492,492,492,0,451,0,8,136576
action_dit_norm3,1x41x1536,128,8,independent_pcu_ports,821,492,492,492,0,0,0,8,105088
action_dit_norm_out,1x41x1536,4,8,single_shared,1519,492,492,492,471,0,0,8,6076
action_dit_norm_out,1x41x1536,4,8,split_rw,1067,492,492,492,0,451,0,8,4268
action_dit_norm_out,1x41x1536,4,8,independent_pcu_ports,821,492,492,492,0,0,0,8,3284
action_vlln,1x280x2048,1,16,single_shared,6798,2240,2240,2240,2221,0,3,8,6798
action_vlln,1x280x2048,1,16,split_rw,4855,2240,2240,2240,0,2492,3,8,4855
action_vlln,1x280x2048,1,16,independent_pcu_ports,4670,2240,2240,2240,0,0,4,8,4670
action_vl_self_attention_norm1,1x280x2048,4,16,single_shared,6798,2240,2240,2240,2221,0,3,8,27192
action_vl_self_attention_norm1,1x280x2048,4,16,split_rw,4855,2240,2240,2240,0,2492,3,8,19420
action_vl_self_attention_norm1,1x280x2048,4,16,independent_pcu_ports,4670,2240,2240,2240,0,0,4,8,18680
action_vl_self_attention_norm3,1x280x2048,4,16,single_shared,6798,2240,2240,2240,2221,0,3,8,27192
action_vl_self_attention_norm3,1x280x2048,4,16,split_rw,4855,2240,2240,2240,0,2492,3,8,19420
action_vl_self_attention_norm3,1x280x2048,4,16,independent_pcu_ports,4670,2240,2240,2240,0,0,4,8,18680
action_dit_adaln_norm1,1x41x1536,128,16,single_shared,909,246,246,246,189,0,12,8,116352
action_dit_adaln_norm1,1x41x1536,128,16,split_rw,786,246,246,246,0,415,17,8,100608
action_dit_adaln_norm1,1x41x1536,128,16,independent_pcu_ports,767,246,246,246,0,0,12,8,98176
action_dit_norm3,1x41x1536,128,16,single_shared,909,246,246,246,189,0,12,8,116352
action_dit_norm3,1x41x1536,128,16,split_rw,786,246,246,246,0,415,17,8,100608
action_dit_norm3,1x41x1536,128,16,independent_pcu_ports,767,246,246,246,0,0,12,8,98176
action_dit_norm_out,1x41x1536,4,16,single_shared,909,246,246,246,189,0,12,8,3636
action_dit_norm_out,1x41x1536,4,16,split_rw,786,246,246,246,0,415,17,8,3144
action_dit_norm_out,1x41x1536,4,16,independent_pcu_ports,767,246,246,246,0,0,12,8,3068
