candidate,reduction,scalar,rsqrt,scalar_broadcast,apply,change_count,estimated_extra_fp32_ops_per_element,estimated_extra_fp32_ops_per_row,estimated_scalar_cost_units,estimated_global_reduce_cycles,profile_passes,profile_count,overall_max_abs,weighted_mean_abs,total_bit_mismatches,total_samples,result
C0_CURRENT_BF16,BF16_SEQUENTIAL,BF16,BF16_LUT256,BF16,BF16_STAGED,0,0,0,1,16,0,6,0.1875,0.004264775983535925,1394056,1909248,FAIL
C1_FP32_REDUCE_SCALAR,FP32_4LANE_TREE,FP32,BF16_LUT256,BF16,BF16_STAGED,2,2,8,1,16,0,6,0.0625,0.002420885458629544,987083,1909248,FAIL
C2_FP32_REDUCE_SCALAR_NR1,FP32_4LANE_TREE,FP32,FP32_NR1,BF16,BF16_STAGED,3,2,13,6,16,0,6,0.0625,0.0018965957679370545,824008,1909248,FAIL
C3_FUSED_APPLY_ONLY,BF16_SEQUENTIAL,BF16,BF16_LUT256,BF16,FP32_FUSED,1,4,0,1,16,0,6,0.1875,0.004134085054297787,1433610,1909248,FAIL
C4_BF16_REDUCE_FP32_SCALAR_FUSED,BF16_SEQUENTIAL,FP32,FP32_NR1,FP32,FP32_FUSED,3,4,7,6,16,0,6,0.125,0.0044432209403190625,1554636,1909248,FAIL
C5_FP32_REDUCE_LUT_FUSED,FP32_4LANE_TREE,FP32,BF16_LUT256,FP32,FP32_FUSED,3,6,8,1,16,0,6,0.0625,0.001747674589149418,782319,1909248,FAIL
C6_FP32_REDUCE_NR1_FUSED,FP32_4LANE_TREE,FP32,FP32_NR1,FP32,FP32_FUSED,4,6,13,6,16,3,6,0.0625,8.041258326477e-06,4040,1909248,FAIL
C7_FP32_REDUCE_EXACT_FUSED,FP32_4LANE_TREE,FP32,FP32_EXACT,FP32,FP32_FUSED,4,6,8,100,16,6,6,0.015625,4.8970878575038144e-08,30,1909248,PASS
C8_CANONICAL_WELFORD_FUSED,FP32_WELFORD,FP32,FP32_EXACT,FP32,FP32_FUSED,5,7,6,120,16,6,6,0.015625,5.586502889881036e-08,32,1909248,PASS
C9_FP32_REDUCE_NR2_FUSED,FP32_4LANE_TREE,FP32,FP32_NR2,FP32,FP32_FUSED,4,6,18,11,16,6,6,0.015625,6.27014047240693e-08,38,1909248,PASS
C10_FP32_BALANCED_NR2_FUSED,FP32_4LANE_BALANCED,FP32,FP32_NR2,FP32,FP32_FUSED,4,6,18,11,4,6,6,0.015625,7.663172800578407e-08,44,1909248,PASS
C11_FP32_INTERLEAVED4_NR2_FUSED,FP32_INTERLEAVED4_BALANCED,FP32,FP32_NR2,FP32,FP32_FUSED,4,6,18,11,4,6,6,0.015625,7.408001513456884e-08,37,1909248,PASS
