candidate,profile_id,rows,hidden_size,samples,bit_mismatches,bit_exact_rate,max_abs,mean_abs,rmse,nonfinite,threshold,result
C0_CURRENT_BF16,action_vlln,280,2048,573440,393905,0.31308419363839285,0.078125,0.004082017999053278,0.006658147030057981,0,0.025,FAIL
C1_FP32_REDUCE_SCALAR,action_vlln,280,2048,573440,302182,0.47303641183035716,0.046875,0.0026141191316193207,0.004738536412318952,0,0.025,FAIL
C2_FP32_REDUCE_SCALAR_NR1,action_vlln,280,2048,573440,267864,0.5328822544642857,0.046875,0.002195820434079516,0.004193967574664603,0,0.025,FAIL
C3_FUSED_APPLY_ONLY,action_vlln,280,2048,573440,407743,0.28895263671875,0.0625,0.004005665782597134,0.006314012134166787,0,0.025,FAIL
C4_BF16_REDUCE_FP32_SCALAR_FUSED,action_vlln,280,2048,573440,474544,0.1724609375,0.0625,0.004742686056468821,0.006818699655210538,0,0.025,FAIL
C5_FP32_REDUCE_LUT_FUSED,action_vlln,280,2048,573440,222099,0.6126900809151786,0.03125,0.001725550901499316,0.003575847154528429,0,0.025,FAIL
C6_FP32_REDUCE_NR1_FUSED,action_vlln,280,2048,573440,1255,0.9978114536830357,0.03125,8.276992093669833e-06,0.0002476759207513416,0,0.025,FAIL
C7_FP32_REDUCE_EXACT_FUSED,action_vlln,280,2048,573440,2,0.9999965122767858,0.00390625,6.812167287405048e-09,5.158412201672804e-06,0,0.025,PASS
C8_CANONICAL_WELFORD_FUSED,action_vlln,280,2048,573440,3,0.9999947684151785,0.0078125,2.043608609320862e-08,1.1534560334607784e-05,0,0.025,PASS
C9_FP32_REDUCE_NR2_FUSED,action_vlln,280,2048,573440,3,0.9999947684151785,0.00390625,1.3624126690306834e-08,7.2950964942180145e-06,0,0.025,PASS
C10_FP32_BALANCED_NR2_FUSED,action_vlln,280,2048,573440,5,0.9999912806919643,0.00390625,2.2139075943934067e-08,9.027221350096393e-06,0,0.025,PASS
C11_FP32_INTERLEAVED4_NR2_FUSED,action_vlln,280,2048,573440,5,0.9999912806919643,0.015625,4.768392370481576e-08,2.2484997486299587e-05,0,0.025,PASS
C0_CURRENT_BF16,action_vl_self_attention_norm1,280,2048,573440,467142,0.18536900111607144,0.0625,0.004887409327641632,0.007258486446740272,0,0.025,FAIL
C1_FP32_REDUCE_SCALAR,action_vl_self_attention_norm1,280,2048,573440,288991,0.4960396902901786,0.03125,0.0022248546069671906,0.004073934018515589,0,0.025,FAIL
C2_FP32_REDUCE_SCALAR_NR1,action_vl_self_attention_norm1,280,2048,573440,240397,0.5807809012276786,0.03125,0.0017523513704743113,0.003501340822116028,0,0.025,FAIL
C3_FUSED_APPLY_ONLY,action_vl_self_attention_norm1,280,2048,573440,491395,0.14307512555803573,0.0625,0.004749207066340334,0.006769822824925462,0,0.025,FAIL
C4_BF16_REDUCE_FP32_SCALAR_FUSED,action_vl_self_attention_norm1,280,2048,573440,482743,0.15816301618303572,0.0625,0.004511371122329625,0.0064869682769731225,0,0.025,FAIL
C5_FP32_REDUCE_LUT_FUSED,action_vl_self_attention_norm1,280,2048,573440,221237,0.6141932896205358,0.03125,0.0015808982542807825,0.0032766049241605712,0,0.025,FAIL
