architecture,data_format,lanes,generic_cells,generic_path_length,technology_mapped_area_um2,critical_path_ns,slack_ns,evidence,log
combinational_tree,FP16,1,10787,334,,,,YOSYS_GENERIC_NOT_TIMING,reports/groot_normalization/results/bank_vector_reducer_l1_yosys.log
combinational_tree,FP16,2,21330,566,,,,YOSYS_GENERIC_NOT_TIMING,reports/groot_normalization/results/bank_vector_reducer_l2_yosys.log
combinational_tree,FP16,4,42389,798,,,,YOSYS_GENERIC_NOT_TIMING,reports/groot_normalization/results/bank_vector_reducer_l4_yosys.log
combinational_tree,FP16,8,84501,1030,,,,YOSYS_GENERIC_NOT_TIMING,reports/groot_normalization/results/bank_vector_reducer_l8_yosys.log
combinational_tree,FP16,16,168725,1262,,,,YOSYS_GENERIC_NOT_TIMING,reports/groot_normalization/results/bank_vector_reducer_l16_yosys.log
combinational_tree,BF16,1,8675,281,,,,YOSYS_GENERIC_NOT_TIMING,reports/groot_normalization/results/bank_vector_reducer_l1_bf16_yosys.log
combinational_tree,BF16,2,17091,478,,,,YOSYS_GENERIC_NOT_TIMING,reports/groot_normalization/results/bank_vector_reducer_l2_bf16_yosys.log
combinational_tree,BF16,4,33931,675,,,,YOSYS_GENERIC_NOT_TIMING,reports/groot_normalization/results/bank_vector_reducer_l4_bf16_yosys.log
combinational_tree,BF16,8,67603,872,,,,YOSYS_GENERIC_NOT_TIMING,reports/groot_normalization/results/bank_vector_reducer_l8_bf16_yosys.log
combinational_tree,BF16,16,134947,1069,,,,YOSYS_GENERIC_NOT_TIMING,reports/groot_normalization/results/bank_vector_reducer_l16_bf16_yosys.log
pipelined_tree,FP16,2,21363,333,,,,YOSYS_GENERIC_NOT_TIMING,reports/groot_normalization/results/bank_pipelined_vector_reducer_l2_yosys.log
pipelined_tree,FP16,4,42461,333,,,,YOSYS_GENERIC_NOT_TIMING,reports/groot_normalization/results/bank_pipelined_vector_reducer_l4_yosys.log
pipelined_tree,FP16,8,84727,333,,,,YOSYS_GENERIC_NOT_TIMING,reports/groot_normalization/results/bank_pipelined_vector_reducer_l8_yosys.log
pipelined_tree,FP16,16,169209,333,,,,YOSYS_GENERIC_NOT_TIMING,reports/groot_normalization/results/bank_pipelined_vector_reducer_l16_yosys.log
pipelined_tree,BF16,2,17143,280,,,,YOSYS_GENERIC_NOT_TIMING,reports/groot_normalization/results/bank_pipelined_vector_reducer_l2_bf16_yosys.log
pipelined_tree,BF16,4,34045,280,,,,YOSYS_GENERIC_NOT_TIMING,reports/groot_normalization/results/bank_pipelined_vector_reducer_l4_bf16_yosys.log
pipelined_tree,BF16,8,67847,280,,,,YOSYS_GENERIC_NOT_TIMING,reports/groot_normalization/results/bank_pipelined_vector_reducer_l8_bf16_yosys.log
pipelined_tree,BF16,16,135449,280,,,,YOSYS_GENERIC_NOT_TIMING,reports/groot_normalization/results/bank_pipelined_vector_reducer_l16_bf16_yosys.log
