profile_id,offload_one_way_latency_ns,offload_bandwidth_gbps,hierarchical_ns,bank_only_ns,gpu_full_ns,hierarchical_speedup_vs_bank_only,hierarchical_speedup_vs_gpu_full,winner,evidence_class
vlln,250,16,534557.5,554975.58,1158777.952,1.038196,2.167733,hierarchical,ASSUMED_SENSITIVITY
vl_self_attention_norm1_norm3,250,16,534557.5,554975.58,1158777.952,1.038196,2.167733,hierarchical,ASSUMED_SENSITIVITY
dit_adaln_norm1,250,16,88693.5625,96216.1385,257907.808,1.084815,2.907853,hierarchical,ASSUMED_SENSITIVITY
dit_norm3,250,16,88693.5625,96216.1385,131703.904,1.084815,1.484932,hierarchical,ASSUMED_SENSITIVITY
dit_norm_out,250,16,88693.5625,96216.1385,134782.048,1.084815,1.519637,hierarchical,ASSUMED_SENSITIVITY
qwen_input_post_attention,250,16,459778.75,470806.54,1156725.856,1.023985,2.515831,hierarchical,ASSUMED_SENSITIVITY
qwen_query_key,250,16,578210.0,767059.28,1154737.888,1.32661,1.997091,hierarchical,ASSUMED_SENSITIVITY
vlln,250,32,534557.5,545455.58,583289.952,1.020387,1.091164,hierarchical,ASSUMED_SENSITIVITY
vl_self_attention_norm1_norm3,250,32,534557.5,545455.58,583289.952,1.020387,1.091164,hierarchical,ASSUMED_SENSITIVITY
dit_adaln_norm1,250,32,88693.5625,94822.1385,131955.808,1.069098,1.487772,hierarchical,ASSUMED_SENSITIVITY
dit_norm3,250,32,88693.5625,94822.1385,68727.904,1.069098,0.774892,gpu_full,ASSUMED_SENSITIVITY
dit_norm_out,250,32,88693.5625,94822.1385,70270.048,1.069098,0.792279,gpu_full,ASSUMED_SENSITIVITY
qwen_input_post_attention,250,32,459778.75,466046.54,582261.856,1.013632,1.266396,hierarchical,ASSUMED_SENSITIVITY
qwen_query_key,250,32,578210.0,614739.28,581265.888,1.063176,1.005285,hierarchical,ASSUMED_SENSITIVITY
vlln,250,64,534557.5,540695.58,295545.952,1.011483,0.55288,gpu_full,ASSUMED_SENSITIVITY
vl_self_attention_norm1_norm3,250,64,534557.5,540695.58,295545.952,1.011483,0.55288,gpu_full,ASSUMED_SENSITIVITY
dit_adaln_norm1,250,64,88693.5625,94125.1385,68979.808,1.06124,0.777732,gpu_full,ASSUMED_SENSITIVITY
dit_norm3,250,64,88693.5625,94125.1385,37239.904,1.06124,0.419872,gpu_full,ASSUMED_SENSITIVITY
dit_norm_out,250,64,88693.5625,94125.1385,38014.048,1.06124,0.4286,gpu_full,ASSUMED_SENSITIVITY
qwen_input_post_attention,250,64,459778.75,463666.54,295029.856,1.008456,0.641678,gpu_full,ASSUMED_SENSITIVITY
qwen_query_key,250,64,578210.0,538579.28,294529.888,0.93146,0.509382,gpu_full,ASSUMED_SENSITIVITY
vlln,250,128,534557.5,538315.58,151673.952,1.00703,0.283737,gpu_full,ASSUMED_SENSITIVITY
vl_self_attention_norm1_norm3,250,128,534557.5,538315.58,151673.952,1.00703,0.283737,gpu_full,ASSUMED_SENSITIVITY
dit_adaln_norm1,250,128,88693.5625,93776.6385,37491.808,1.057311,0.422712,gpu_full,ASSUMED_SENSITIVITY
