case,profile_id,norm_type,rows,hidden_size,invocations,clock_mhz,latency_ns_per_call,projected_latency_ns,cycles_equivalent_per_call,prepare_ns,local_reduce_ns,partial_transfer_ns,global_reduce_ns,finalize_ns,rsqrt_ns,return_ns,apply_ns,queue_sync_ns,mode_switch_ns,tensor_bytes,partial_bytes,return_bytes,energy_nj,area_um2,evidence_class,assumptions_id
gpu_full,vlln,VLLN_LayerNorm,280,2048,1,100.0,300045.952,300045.952,30005,0.0,0.0,146884.0,2301.952,0.0,0.0,145860.0,0.0,5000.0,0.0,2301952,0,0,,,ASSUMED_GPU_ROOFLINE,reference_point_v1
gpu_full,vl_self_attention_norm1_norm3,LayerNorm,280,2048,8,100.0,300045.952,2400367.616,30005,0.0,0.0,146884.0,2301.952,0.0,0.0,145860.0,0.0,5000.0,0.0,2301952,0,0,,,ASSUMED_GPU_ROOFLINE,reference_point_v1
gpu_full,dit_adaln_norm1,AdaLayerNorm,41,1536,128,100.0,73479.808,9405415.424,7348,0.0,0.0,49732.0,503.808,0.0,0.0,18244.0,0.0,5000.0,0.0,503808,0,0,,,ASSUMED_GPU_ROOFLINE,reference_point_v1
gpu_full,dit_norm3,LayerNorm,41,1536,128,100.0,41739.904,5342707.712,4174,0.0,0.0,18244.0,251.904,0.0,0.0,18244.0,0.0,5000.0,0.0,251904,0,0,,,ASSUMED_GPU_ROOFLINE,reference_point_v1
gpu_full,dit_norm_out,LayerNorm,41,1536,4,100.0,42514.048,170056.192,4252,0.0,0.0,19012.0,258.048,0.0,0.0,18244.0,0.0,5000.0,0.0,258048,0,0,,,ASSUMED_GPU_ROOFLINE,reference_point_v1
gpu_full,qwen_input_post_attention,RMSNorm,280,2048,32,100.0,299529.856,9584955.392,29953,0.0,0.0,146372.0,2297.856,0.0,0.0,145860.0,0.0,5000.0,0.0,2297856,0,0,,,ASSUMED_GPU_ROOFLINE,reference_point_v1
gpu_full,qwen_query_key,RMSNorm,8960,64,32,100.0,299029.888,9568956.416,29903,0.0,0.0,145876.0,2293.888,0.0,0.0,145860.0,0.0,5000.0,0.0,2293888,0,0,,,ASSUMED_GPU_ROOFLINE,reference_point_v1
gpu_partial,vlln,VLLN_LayerNorm,280,2048,1,100.0,545195.58,545195.58,54520,0.0,358400.0,6980.0,38.08,8.75,8.75,2780.0,171980.0,5000.0,0.0,0,35840,2240,,,MIXED_MEASURED_ELEMENTWISE_ASSUMED_OFFLOAD,reference_point_v1
gpu_partial,vl_self_attention_norm1_norm3,LayerNorm,280,2048,8,100.0,545195.58,4361564.64,54520,0.0,358400.0,6980.0,38.08,8.75,8.75,2780.0,171980.0,5000.0,0.0,0,35840,2240,,,MIXED_MEASURED_ELEMENTWISE_ASSUMED_OFFLOAD,reference_point_v1
gpu_partial,dit_adaln_norm1,AdaLayerNorm,41,1536,128,100.0,98625.1385,12624017.728,9863,0.0,39360.0,3156.0,5.576,1.28125,1.28125,2541.0,48560.0,5000.0,0.0,0,5248,328,,,MIXED_MEASURED_ELEMENTWISE_ASSUMED_OFFLOAD,reference_point_v1
gpu_partial,dit_norm3,LayerNorm,41,1536,128,100.0,98625.1385,12624017.728,9863,0.0,39360.0,3156.0,5.576,1.28125,1.28125,2541.0,48560.0,5000.0,0.0,0,5248,328,,,MIXED_MEASURED_ELEMENTWISE_ASSUMED_OFFLOAD,reference_point_v1
gpu_partial,dit_norm_out,LayerNorm,41,1536,4,100.0,98625.1385,394500.554,9863,0.0,39360.0,3156.0,5.576,1.28125,1.28125,2541.0,48560.0,5000.0,0.0,0,5248,328,,,MIXED_MEASURED_ELEMENTWISE_ASSUMED_OFFLOAD,reference_point_v1
gpu_partial,qwen_input_post_attention,RMSNorm,280,2048,32,100.0,468166.54,14981329.28,46817,0.0,358400.0,4740.0,19.04,8.75,8.75,2640.0,97350.0,5000.0,0.0,0,17920,1120,,,MIXED_MEASURED_ELEMENTWISE_ASSUMED_OFFLOAD,reference_point_v1
gpu_partial,qwen_query_key,RMSNorm,8960,64,32,100.0,543079.28,17378536.96,54308,0.0,358400.0,74180.0,609.28,280.0,280.0,6980.0,97350.0,5000.0,0.0,0,573440,35840,,,MIXED_MEASURED_ELEMENTWISE_ASSUMED_OFFLOAD,reference_point_v1
bank_only,vlln,VLLN_LayerNorm,280,2048,1,100.0,545195.58,545195.58,54520,0.0,358400.0,6980.0,38.08,8.75,8.75,2780.0,171980.0,5000.0,0.0,0,35840,2240,,,MIXED_MEASURED_ELEMENTWISE_ASSUMED_OFFLOAD,reference_point_v1
bank_only,vl_self_attention_norm1_norm3,LayerNorm,280,2048,8,100.0,545195.58,4361564.64,54520,0.0,358400.0,6980.0,38.08,8.75,8.75,2780.0,171980.0,5000.0,0.0,0,35840,2240,,,MIXED_MEASURED_ELEMENTWISE_ASSUMED_OFFLOAD,reference_point_v1
bank_only,dit_adaln_norm1,AdaLayerNorm,41,1536,128,100.0,98625.1385,12624017.728,9863,0.0,39360.0,3156.0,5.576,1.28125,1.28125,2541.0,48560.0,5000.0,0.0,0,5248,328,,,MIXED_MEASURED_ELEMENTWISE_ASSUMED_OFFLOAD,reference_point_v1
