dtype,norm_type,input_case,hidden_size,candidate,nr_iterations,wide_internal,samples,nonfinite,max_abs,mean_abs,max_rel,mean_rel,rmse,max_abs_threshold,result
FP16,LayerNorm,all_zero,2048,LUT256,0,False,2048,0,0.0,0.0,0.0,0.0,0.0,0.025,PASS
FP16,LayerNorm,all_zero,2048,LUT256_NR1_NARROW,1,False,0,2048,0.0,0.0,0.0,0.0,0.0,0.025,FAIL
FP16,LayerNorm,all_zero,2048,LUT256_NR2_NARROW,2,False,0,2048,0.0,0.0,0.0,0.0,0.0,0.025,FAIL
FP16,LayerNorm,all_zero,2048,LUT256_NR1_WIDE,1,True,2048,0,0.0,0.0,0.0,0.0,0.0,0.025,PASS
FP16,LayerNorm,all_zero,2048,LUT256_NR2_WIDE,2,True,2048,0,0.0,0.0,0.0,0.0,0.0,0.025,PASS
FP16,LayerNorm,constant,2048,LUT256,0,False,2048,0,0.0,0.0,0.0,0.0,0.0,0.025,PASS
FP16,LayerNorm,constant,2048,LUT256_NR1_NARROW,1,False,0,2048,0.0,0.0,0.0,0.0,0.0,0.025,FAIL
FP16,LayerNorm,constant,2048,LUT256_NR2_NARROW,2,False,0,2048,0.0,0.0,0.0,0.0,0.0,0.025,FAIL
FP16,LayerNorm,constant,2048,LUT256_NR1_WIDE,1,True,2048,0,0.0,0.0,0.0,0.0,0.0,0.025,PASS
FP16,LayerNorm,constant,2048,LUT256_NR2_WIDE,2,True,2048,0,0.0,0.0,0.0,0.0,0.0,0.025,PASS
FP16,LayerNorm,mixed_random,2048,LUT256,0,False,2048,0,0.001484835,0.0007287832,0.0008456215,0.0008456215,0.00084562,0.025,PASS
FP16,LayerNorm,mixed_random,2048,LUT256_NR1_NARROW,1,False,2048,0,1.66691e-05,8.1815e-06,9.4931e-06,9.4931e-06,9.4931e-06,0.025,PASS
FP16,LayerNorm,mixed_random,2048,LUT256_NR2_NARROW,2,False,2048,0,1.66691e-05,8.1815e-06,9.4931e-06,9.4931e-06,9.4931e-06,0.025,PASS
FP16,LayerNorm,mixed_random,2048,LUT256_NR1_WIDE,1,True,2048,0,1.66691e-05,8.1815e-06,9.4931e-06,9.4931e-06,9.4931e-06,0.025,PASS
FP16,LayerNorm,mixed_random,2048,LUT256_NR2_WIDE,2,True,2048,0,1.66691e-05,8.1815e-06,9.4931e-06,9.4931e-06,9.4931e-06,0.025,PASS
FP16,LayerNorm,small_variance,2048,LUT256,0,False,2048,0,0.0002022606,5.78734e-05,0.0015308332,0.0015308332,8.26431e-05,0.025,PASS
FP16,LayerNorm,small_variance,2048,LUT256_NR1_NARROW,1,False,0,2048,0.0,0.0,0.0,0.0,0.0,0.025,FAIL
FP16,LayerNorm,small_variance,2048,LUT256_NR2_NARROW,2,False,0,2048,0.0,0.0,0.0,0.0,0.0,0.025,FAIL
FP16,LayerNorm,small_variance,2048,LUT256_NR1_WIDE,1,True,2048,0,9.76545e-05,2.79421e-05,0.0007391092,0.0007391092,3.99013e-05,0.025,PASS
FP16,LayerNorm,small_variance,2048,LUT256_NR2_WIDE,2,True,2048,0,9.76545e-05,2.79421e-05,0.0007391092,0.0007391092,3.99013e-05,0.025,PASS
FP16,LayerNorm,large_offset_small_variance,1536,LUT256,0,False,1536,0,0.0,0.0,0.0,0.0,0.0,0.025,PASS
FP16,LayerNorm,large_offset_small_variance,1536,LUT256_NR1_NARROW,1,False,0,1536,0.0,0.0,0.0,0.0,0.0,0.025,FAIL
FP16,LayerNorm,large_offset_small_variance,1536,LUT256_NR2_NARROW,2,False,0,1536,0.0,0.0,0.0,0.0,0.0,0.025,FAIL
FP16,LayerNorm,large_offset_small_variance,1536,LUT256_NR1_WIDE,1,True,1536,0,0.0,0.0,0.0,0.0,0.0,0.025,PASS
FP16,LayerNorm,large_offset_small_variance,1536,LUT256_NR2_WIDE,2,True,1536,0,0.0,0.0,0.0,0.0,0.0,0.025,PASS
FP16,RMSNorm,all_zero,2048,LUT256,0,False,2048,0,0.0,0.0,0.0,0.0,0.0,0.025,PASS
FP16,RMSNorm,all_zero,2048,LUT256_NR1_NARROW,1,False,0,2048,0.0,0.0,0.0,0.0,0.0,0.025,FAIL
