dtype,candidate,lut_entries,nr_iterations,wide_internal,samples,nonfinite,max_abs,mean_abs,max_rel,mean_rel,rmse,max_rel_threshold,result
FP16,LUT256,256,0,False,20007,0,3.0,0.0514683097,0.0029981022,0.000824801,0.1530366716,0.01,PASS
FP16,LUT256_NR1_NARROW,256,1,False,18159,1848,0.1632116351,0.0062274578,0.0011149888,0.0002609485,0.0181174771,0.002,FAIL
FP16,LUT256_NR2_NARROW,256,2,False,18157,1850,0.161277735,0.0054062136,0.001022579,0.0002341958,0.0156689645,0.002,FAIL
FP16,LUT256_NR1_WIDE,256,1,True,20007,0,0.2462206225,0.0112175762,0.0004884005,0.0001755581,0.0314674125,0.002,PASS
FP16,LUT256_NR2_WIDE,256,2,True,20007,0,0.2462206225,0.0112155498,0.000487685,0.0001755355,0.0314614916,0.002,PASS
BF16,LUT256,256,0,False,20007,0,4.0,0.1047087872,0.0044670936,0.0016214207,0.3136614129,0.01,PASS
BF16,LUT256_NR1_NARROW,256,1,False,20007,0,4.0,0.1161649573,0.0062636802,0.0018086818,0.3559956182,0.01,PASS
BF16,LUT256_NR2_NARROW,256,2,False,20007,0,4.0,0.1096651519,0.0055412996,0.0017077399,0.3313079753,0.01,PASS
BF16,LUT256_NR1_WIDE,256,1,True,20007,0,2.0117955692,0.0899372684,0.0039139093,0.0013904499,0.2660294392,0.01,PASS
BF16,LUT256_NR2_WIDE,256,2,True,20007,0,1.9972742369,0.0899286369,0.0038680132,0.0013903375,0.2659899985,0.01,PASS
