scenario,case,requests,arrival_rate_per_channel_s,completion_span_ns,mean_latency_ns,p95_latency_ns,mean_queue_ns,max_queue_ns,tensor_bytes,partial_bytes,return_bytes,bank_utilization,logic_utilization,gpu_utilization,offload_link_utilization,ondie_link_utilization,area_generic_cells_proxy,energy_nj,stage_service_ns_json,evidence_class
low,gpu_full,333,500.0,86088911.808,386156.290306,2384433.6,275728.348252,2789881.92,265416704,0,0,0.0,0.0,0.022423523,0.404722133,0.0,,,"{""input"": 19450868.0, ""launch"": 1665000.0, ""normalize"": 265416.7039999995, ""output"": 15391220.0}",MIXED_RTL_MEASURED_SIMULATOR_MEASURED_ASSUMED_SYSTEM
low,bank_only,333,500.0,83543079.28,189168.222372,543079.28,251.818559,83855.58,0,20610560,1288160,0.084987022,0.0,0.020423026,0.052695448,0.0,244912,,"{""bank_apply"": 20403820.0, ""gpu_scalar"": 1706202.4699999953, ""local_reduce"": 36396800.0, ""partial_offload"": 3408820.0, ""scalar_return"": 993520.0}",MIXED_RTL_MEASURED_SIMULATOR_MEASURED_ASSUMED_SYSTEM
low,logic_only,333,500.0,83117101.0,49240.234234,117101.0,0.0,0.0,265416704,0,0,0.0,0.01074548,0.0,0.0,0.025348189,445337,,"{""logic_normalize"": 14290130.0, ""tensor_return"": 926570.0, ""tensor_to_logic"": 1180298.0}",MIXED_RTL_MEASURED_SIMULATOR_MEASURED_ASSUMED_SYSTEM
low,hierarchical,333,500.0,122632470.0,2134756.15991,20169110.0,1812250.142643,37710260.0,0,20610560,1288160,0.057897207,0.025681157,0.0,0.0,0.001666636,690249,,"{""bank_apply"": 20403820.0, ""local_reduce"": 36396800.0, ""logic_scalar"": 50389500.0, ""partial_to_logic"": 177670.0, ""scalar_broadcast"": 26713.75}",MIXED_RTL_MEASURED_SIMULATOR_MEASURED_ASSUMED_SYSTEM
base,gpu_full,333,2500.0,35112504.704,4925622.84627,14608026.496,4815194.904216,18213474.816,265416704,0,0,0.0,0.0,0.05497804,0.992298564,0.0,,,"{""input"": 19450868.0, ""launch"": 1665000.0, ""normalize"": 265416.7039999995, ""output"": 15391220.0}",MIXED_RTL_MEASURED_SIMULATOR_MEASURED_ASSUMED_SYSTEM
base,bank_only,333,2500.0,20309187.66,487097.077964,2770183.28,298180.67415,3166108.38,0,20610560,1288160,0.349599286,0.0,0.08401136,0.216765932,0.0,244912,,"{""bank_apply"": 20403820.0, ""gpu_scalar"": 1706202.4699999953, ""local_reduce"": 36396800.0, ""partial_offload"": 3408820.0, ""scalar_return"": 993520.0}",MIXED_RTL_MEASURED_SIMULATOR_MEASURED_ASSUMED_SYSTEM
base,logic_only,333,2500.0,20078256.0,416924.738739,2404640.0,367684.504505,3361155.0,265416704,0,0,0.0,0.044482605,0.0,0.0,0.104932819,445337,,"{""logic_normalize"": 14290130.0, ""tensor_return"": 926570.0, ""tensor_to_logic"": 1180298.0}",MIXED_RTL_MEASURED_SIMULATOR_MEASURED_ASSUMED_SYSTEM
base,hierarchical,333,2500.0,63942662.5,2668313.094782,24679302.5,2345807.077515,45420452.5,0,20610560,1288160,0.11103819,0.049252621,0.0,0.0,0.00319636,690249,,"{""bank_apply"": 20403820.0, ""local_reduce"": 36396800.0, ""logic_scalar"": 50389500.0, ""partial_to_logic"": 177670.0, ""scalar_broadcast"": 26713.75}",MIXED_RTL_MEASURED_SIMULATOR_MEASURED_ASSUMED_SYSTEM
high,gpu_full,333,10000.0,35112504.704,11150622.84627,26458026.496,11040194.904216,30663474.816,265416704,0,0,0.0,0.0,0.05497804,0.992298564,0.0,,,"{""input"": 19450868.0, ""launch"": 1665000.0, ""normalize"": 265416.7039999995, ""output"": 15391220.0}",MIXED_RTL_MEASURED_SIMULATOR_MEASURED_ASSUMED_SYSTEM
high,bank_only,333,10000.0,12160402.351,2203014.167266,6482876.671,2014097.763452,7467323.071,0,20610560,1288160,0.583868633,0.0,0.140308061,0.362022561,0.0,244912,,"{""bank_apply"": 20403820.0, ""gpu_scalar"": 1706202.4699999953, ""local_reduce"": 36396800.0, ""partial_offload"": 3408820.0, ""scalar_return"": 993520.0}",MIXED_RTL_MEASURED_SIMULATOR_MEASURED_ASSUMED_SYSTEM
high,logic_only,333,10000.0,16396998.0,4830350.828829,10573382.0,4781110.594595,12129897.0,265416704,0,0,0.0,0.054469307,0.0,0.0,0.128491081,445337,,"{""logic_normalize"": 14290130.0, ""tensor_return"": 926570.0, ""tensor_to_logic"": 1180298.0}",MIXED_RTL_MEASURED_SIMULATOR_MEASURED_ASSUMED_SYSTEM
high,hierarchical,333,10000.0,55680671.0625,4327198.025901,28267311.0625,4004692.008634,49608461.0625,0,20610560,1288160,0.127514223,0.056560808,0.0,0.0,0.003670641,690249,,"{""bank_apply"": 20403820.0, ""local_reduce"": 36396800.0, ""logic_scalar"": 50389500.0, ""partial_to_logic"": 177670.0, ""scalar_broadcast"": 26713.75}",MIXED_RTL_MEASURED_SIMULATOR_MEASURED_ASSUMED_SYSTEM
