revision,category,mapped_area_um2,area_vs_baseline_ratio,dynamic_power_W,leakage_power_W,total_power_W,power_vs_baseline_ratio,fp16_generic_cells,bf16_generic_cells,physical_calibration,power_calibration,area_comparison_policy,power_comparison_policy
synthetic_low_area,bf16_fp16,2560000.0,1.0,1.0032,0.1368,1.1400000000000001,1.0,,,synthetic,synthetic,quantitative,quantitative
synthetic_low_area,normalization_rounding,1920000.0,1.0,0.5808,0.0792,0.66,1.0,,80000,synthetic,synthetic,quantitative,quantitative
synthetic_low_area,accumulator_reduction,1440000.0,1.0,0.47520000000000007,0.0648,0.54,1.0,,,synthetic,synthetic,quantitative,quantitative
synthetic_low_area,buffer_register,1280000.0,1.0,0.31679999999999997,0.043199999999999995,0.36,1.0,,,synthetic,synthetic,quantitative,quantitative
synthetic_low_area,control_routing,800000.0,1.0,0.264,0.036000000000000004,0.30000000000000004,1.0,,,synthetic,synthetic,quantitative,quantitative
synthetic_balanced,bf16_fp16,3200000.0,1.25,1.2707199999999998,0.17328,1.444,1.2666666666666664,,,synthetic,synthetic,quantitative,quantitative
synthetic_balanced,normalization_rounding,2400000.0,1.25,0.73568,0.10031999999999999,0.836,1.2666666666666666,,105000,synthetic,synthetic,quantitative,quantitative
synthetic_balanced,accumulator_reduction,1800000.0,1.25,0.60192,0.08207999999999999,0.6839999999999999,1.2666666666666664,,,synthetic,synthetic,quantitative,quantitative
synthetic_balanced,buffer_register,1600000.0,1.25,0.40127999999999997,0.05471999999999999,0.45599999999999996,1.2666666666666666,,,synthetic,synthetic,quantitative,quantitative
synthetic_balanced,control_routing,1000000.0,1.25,0.33440000000000003,0.0456,0.38,1.2666666666666664,,,synthetic,synthetic,quantitative,quantitative
synthetic_high_performance,bf16_fp16,4480000.0,1.75,1.8392,0.25079999999999997,2.09,1.833333333333333,,,synthetic,synthetic,quantitative,quantitative
synthetic_high_performance,normalization_rounding,3360000.0,1.75,1.0648,0.1452,1.21,1.8333333333333333,,150000,synthetic,synthetic,quantitative,quantitative
synthetic_high_performance,accumulator_reduction,2520000.0,1.75,0.8712,0.11879999999999999,0.99,1.8333333333333333,,,synthetic,synthetic,quantitative,quantitative
synthetic_high_performance,buffer_register,2240000.0,1.75,0.5808,0.07919999999999999,0.6599999999999999,1.8333333333333333,,,synthetic,synthetic,quantitative,quantitative
synthetic_high_performance,control_routing,1400000.0,1.75,0.48400000000000004,0.066,0.55,1.8333333333333333,,,synthetic,synthetic,quantitative,quantitative
